Region,Date,Month,Year,PesticideClass,TotalApplication
Sacramento River,2017-07-26,Jul,2017,Pyrethroid,144.77246715108177
Sacramento River,2017-07-28,Jul,2017,Pyrethroid,165.82177246535161
Sacramento River,2017-08-01,Aug,2017,Pyrethroid,2497.4701141807013
Sacramento River,2017-08-02,Aug,2017,Pyrethroid,158.7515005858207
Sacramento River,2017-08-04,Aug,2017,Pyrethroid,307.3619114524462
Sacramento River,2017-08-08,Aug,2017,Pyrethroid,242.4024891923042
Sacramento River,2017-08-09,Aug,2017,Pyrethroid,158.34809959067874
Sacramento River,2017-08-10,Aug,2017,Pyrethroid,196.7895468165279
Sacramento River,2017-08-11,Aug,2017,Pyrethroid,297.6558101035206
Sacramento River,2017-09-01,Sep,2017,Pyrethroid,2127.8884073123522
Sacramento River,2017-09-04,Sep,2017,Pyrethroid,122.72530161352913
Sacramento River,2017-09-05,Sep,2017,Pyrethroid,354.01827314697823
Sacramento River,2017-09-06,Sep,2017,Pyrethroid,548.4607040695465
Sacramento River,2017-09-07,Sep,2017,Pyrethroid,465.0908583835401
Sacramento River,2017-09-08,Sep,2017,Pyrethroid,486.29604555489135
Sacramento River,2017-09-11,Sep,2017,Pyrethroid,311.1768238609934
Sacramento River,2017-10-01,Oct,2017,Pyrethroid,1271.2391505374744
Sacramento River,2017-11-01,Nov,2017,Pyrethroid,1227.118214412944
Sacramento River,2017-12-01,Dec,2017,Pyrethroid,1170.2789160399554
Sacramento River,2017-01-01,Jan,2017,Other,4508.604697737468
Sacramento River,2017-02-01,Feb,2017,Other,7454.123423883383
Sacramento River,2017-03-01,Mar,2017,Other,41454.969745567694
Sacramento River,2017-03-04,Mar,2017,Other,809.0545949433716
Sacramento River,2017-03-12,Mar,2017,Other,1047.505492237566
Sacramento River,2017-03-13,Mar,2017,Other,6464.081690249813
Sacramento River,2017-03-14,Mar,2017,Other,9599.938007193212
Sacramento River,2017-03-15,Mar,2017,Other,8840.719650285873
Sacramento River,2017-03-16,Mar,2017,Other,10700.012545351692
Sacramento River,2017-03-18,Mar,2017,Other,19586.30011371315
Sacramento River,2017-03-20,Mar,2017,Other,7570.421931043611
Sacramento River,2017-03-24,Mar,2017,Other,2090.929456741154
Sacramento River,2017-04-01,Apr,2017,Other,9350.678018295575
Sacramento River,2017-04-02,Apr,2017,Other,556.1395125995286
Sacramento River,2017-04-03,Apr,2017,Other,3220.2634242755194
Sacramento River,2017-04-04,Apr,2017,Other,4000.570683980664
Sacramento River,2017-04-06,Apr,2017,Other,2596.033681653179
Sacramento River,2017-04-14,Apr,2017,Other,3281.066923535734
Sacramento River,2017-04-15,Apr,2017,Other,3464.5671132856182
Sacramento River,2017-04-20,Apr,2017,Other,2475.4832199049133
Sacramento River,2017-04-21,Apr,2017,Other,2225.675284071125
Sacramento River,2017-04-22,Apr,2017,Other,2857.0881214113606
Sacramento River,2017-04-23,Apr,2017,Other,2164.757636692356
Sacramento River,2017-04-24,Apr,2017,Other,2409.964280672391
Sacramento River,2017-04-25,Apr,2017,Other,4576.204266481153
Sacramento River,2017-04-26,Apr,2017,Other,2087.055725271557
Sacramento River,2017-04-27,Apr,2017,Other,834.8082313315497
Sacramento River,2017-04-28,Apr,2017,Other,1361.5027468431729
Sacramento River,2017-04-29,Apr,2017,Other,866.8723291276134
Sacramento River,2017-04-30,Apr,2017,Other,2088.9208677295983
Sacramento River,2017-05-01,May,2017,Other,8686.120880602553
Sacramento River,2017-05-02,May,2017,Other,1580.5001557814858
Sacramento River,2017-05-03,May,2017,Other,2794.329860041498
Sacramento River,2017-05-05,May,2017,Other,5414.642203586455
Sacramento River,2017-05-06,May,2017,Other,2518.4328175160977
Sacramento River,2017-05-07,May,2017,Other,322.5167964111193
Sacramento River,2017-05-09,May,2017,Other,1831.6041862125103
Sacramento River,2017-05-10,May,2017,Other,4618.087307628181
Sacramento River,2017-05-11,May,2017,Other,2276.7911776509736
Sacramento River,2017-05-12,May,2017,Other,3281.527250005716
Sacramento River,2017-05-13,May,2017,Other,4452.667440319824
Sacramento River,2017-05-14,May,2017,Other,597.2474304526772
Sacramento River,2017-05-15,May,2017,Other,2882.7195315117333
Sacramento River,2017-05-16,May,2017,Other,2391.1661776884716
Sacramento River,2017-05-17,May,2017,Other,2187.3265226225963
Sacramento River,2017-05-18,May,2017,Other,2282.4870542973326
Sacramento River,2017-05-19,May,2017,Other,3174.270422525037
Sacramento River,2017-05-20,May,2017,Other,2521.03129394228
Sacramento River,2017-05-21,May,2017,Other,812.1664244759677
Sacramento River,2017-05-22,May,2017,Other,1396.5133903767762
Sacramento River,2017-05-23,May,2017,Other,1883.9316163014826
Sacramento River,2017-05-24,May,2017,Other,1992.7730398745762
Sacramento River,2017-05-25,May,2017,Other,2820.2910599258403
Sacramento River,2017-05-26,May,2017,Other,2355.9724805361475
Sacramento River,2017-05-27,May,2017,Other,4520.902576462103
Sacramento River,2017-05-29,May,2017,Other,1440.9505551556406
Sacramento River,2017-05-30,May,2017,Other,1805.7940149521185
Sacramento River,2017-05-31,May,2017,Other,1749.531046674104
Sacramento River,2017-06-01,Jun,2017,Other,8129.468915847908
Sacramento River,2017-06-02,Jun,2017,Other,2202.9987631736144
Sacramento River,2017-06-04,Jun,2017,Other,1166.5146174936917
Sacramento River,2017-06-05,Jun,2017,Other,3170.007777288254
Sacramento River,2017-06-06,Jun,2017,Other,1842.4254740140964
Sacramento River,2017-06-07,Jun,2017,Other,3064.9437377744116
Sacramento River,2017-06-09,Jun,2017,Other,1168.5708897022723
Sacramento River,2017-06-10,Jun,2017,Other,1457.052625204074
Sacramento River,2017-06-12,Jun,2017,Other,2121.1662663609904
Sacramento River,2017-06-13,Jun,2017,Other,1748.570881579772
Sacramento River,2017-06-14,Jun,2017,Other,3079.464842914213
Sacramento River,2017-06-15,Jun,2017,Other,1441.0001915583155
Sacramento River,2017-06-16,Jun,2017,Other,2333.514493410995
Sacramento River,2017-06-17,Jun,2017,Other,1308.0123426029165
Sacramento River,2017-06-19,Jun,2017,Other,1172.0939810989926
Sacramento River,2017-06-20,Jun,2017,Other,936.7341050636824
Sacramento River,2017-06-22,Jun,2017,Other,2036.943974035099
Sacramento River,2017-06-24,Jun,2017,Other,2246.4136868227724
Sacramento River,2017-06-27,Jun,2017,Other,2073.8568591879202
Sacramento River,2017-06-28,Jun,2017,Other,2549.7275840593916
Sacramento River,2017-06-29,Jun,2017,Other,2514.654423450548
Sacramento River,2017-06-30,Jun,2017,Other,3520.3322937536464
Sacramento River,2017-07-01,Jul,2017,Other,7497.4460920147
Sacramento River,2017-07-03,Jul,2017,Other,1226.9148823811352
Sacramento River,2017-07-04,Jul,2017,Other,585.9977350413732
Sacramento River,2017-07-05,Jul,2017,Other,806.242210059197
Sacramento River,2017-07-09,Jul,2017,Other,454.23163859531917
Sacramento River,2017-07-12,Jul,2017,Other,1586.7428687153058
Sacramento River,2017-07-15,Jul,2017,Other,1788.7360842875323
Sacramento River,2017-07-17,Jul,2017,Other,3004.947101093335
Sacramento River,2017-07-24,Jul,2017,Other,1993.897161133756
Sacramento River,2017-07-30,Jul,2017,Other,743.0175248266138
Sacramento River,2017-08-01,Aug,2017,Other,5621.0067113441855
Sacramento River,2017-09-01,Sep,2017,Other,5493.409992011357
Sacramento River,2017-10-01,Oct,2017,Other,9971.9943697329345
Sacramento River,2017-11-01,Nov,2017,Other,11673.858910793271
Sacramento River,2017-02-24,Feb,2017,Other,5993.428424393116
Sacramento River,2017-02-28,Feb,2017,Other,2719.367745108895
Sacramento River,2017-03-02,Mar,2017,Other,3249.874135654326
Sacramento River,2017-03-03,Mar,2017,Other,6570.683887598156
Sacramento River,2017-03-17,Mar,2017,Other,19503.22980255299
Sacramento River,2017-03-31,Mar,2017,Other,3664.0802115897204
Sacramento River,2017-04-10,Apr,2017,Other,3246.0205472982043
Sacramento River,2017-04-17,Apr,2017,Other,807.0419779141988
Sacramento River,2017-04-18,Apr,2017,Other,952.5491223508841
Sacramento River,2017-04-19,Apr,2017,Other,1626.005587101832
Sacramento River,2017-05-04,May,2017,Other,3364.0255855332002
Sacramento River,2017-05-08,May,2017,Other,1908.3033624470477
Sacramento River,2017-06-03,Jun,2017,Other,1634.7200438375198
Sacramento River,2017-06-08,Jun,2017,Other,717.4922270868341
Sacramento River,2017-06-18,Jun,2017,Other,345.83863009193516
Sacramento River,2017-06-21,Jun,2017,Other,1863.4487005012622
Sacramento River,2017-06-23,Jun,2017,Other,2380.6374056510676
Sacramento River,2017-06-25,Jun,2017,Other,1404.621938925553
Sacramento River,2017-06-26,Jun,2017,Other,1551.5815172220691
Sacramento River,2017-07-02,Jul,2017,Other,397.12963458838396
Sacramento River,2017-07-06,Jul,2017,Other,1818.0876559964086
Sacramento River,2017-07-07,Jul,2017,Other,1193.3987447213392
Sacramento River,2017-07-08,Jul,2017,Other,1833.5534595828944
Sacramento River,2017-07-10,Jul,2017,Other,3374.8072536099326
Sacramento River,2017-07-11,Jul,2017,Other,1348.2549385088735
Sacramento River,2017-07-13,Jul,2017,Other,1907.8654901786467
Sacramento River,2017-07-14,Jul,2017,Other,2016.2687582133583
Sacramento River,2017-07-16,Jul,2017,Other,265.04152465309807
Sacramento River,2017-07-18,Jul,2017,Other,2016.7049042858253
Sacramento River,2017-07-19,Jul,2017,Other,1426.2394410064471
Sacramento River,2017-07-20,Jul,2017,Other,1418.4074915975075
Sacramento River,2017-07-21,Jul,2017,Other,1926.653479525557
Sacramento River,2017-07-22,Jul,2017,Other,1490.3782164317613
Sacramento River,2017-07-23,Jul,2017,Other,572.5101895488109
Sacramento River,2017-07-25,Jul,2017,Other,834.4658951976959
Sacramento River,2017-07-26,Jul,2017,Other,762.0214912529983
Sacramento River,2017-07-27,Jul,2017,Other,2760.5676433634612
Sacramento River,2017-07-28,Jul,2017,Other,1673.9054990415113
Sacramento River,2017-07-29,Jul,2017,Other,1008.3436774162111
Sacramento River,2017-07-31,Jul,2017,Other,2025.1645011112691
Sacramento River,2017-08-02,Aug,2017,Other,1479.938545996008
Sacramento River,2017-08-03,Aug,2017,Other,1283.5506817879836
Sacramento River,2017-08-04,Aug,2017,Other,1415.9599398526827
Sacramento River,2017-08-05,Aug,2017,Other,1052.011023390473
Sacramento River,2017-08-06,Aug,2017,Other,1932.9693481429256
Sacramento River,2017-08-07,Aug,2017,Other,1360.0952912854682
Sacramento River,2017-08-08,Aug,2017,Other,1475.143465898912
Sacramento River,2017-08-09,Aug,2017,Other,2912.5156091924964
Sacramento River,2017-08-10,Aug,2017,Other,1855.9031611847834
Sacramento River,2017-08-11,Aug,2017,Other,1578.446317330862
Sacramento River,2017-08-12,Aug,2017,Other,2913.9047006517053
Sacramento River,2017-08-13,Aug,2017,Other,741.6652043510248
Sacramento River,2017-08-14,Aug,2017,Other,1933.3505816571942
Sacramento River,2017-08-15,Aug,2017,Other,1876.252261915404
Sacramento River,2017-08-16,Aug,2017,Other,1818.3466827695265
Sacramento River,2017-08-17,Aug,2017,Other,1867.638092274832
Sacramento River,2017-08-18,Aug,2017,Other,1743.0056832743637
Sacramento River,2017-08-19,Aug,2017,Other,1578.3023724875832
Sacramento River,2017-08-20,Aug,2017,Other,2511.8795743202886
Sacramento River,2017-08-21,Aug,2017,Other,972.8270324801356
Sacramento River,2017-08-22,Aug,2017,Other,2267.3183882413236
Sacramento River,2017-08-23,Aug,2017,Other,1321.975809928237
Sacramento River,2017-08-24,Aug,2017,Other,1087.5034298858066
Sacramento River,2017-08-25,Aug,2017,Other,1292.8606911423494
Sacramento River,2017-08-26,Aug,2017,Other,1139.4939333400243
Sacramento River,2017-08-27,Aug,2017,Other,772.6917693679454
Sacramento River,2017-08-28,Aug,2017,Other,1564.6017903286845
Sacramento River,2017-08-29,Aug,2017,Other,1840.2428639045759
Sacramento River,2017-08-30,Aug,2017,Other,2085.6055398907824
Sacramento River,2017-08-31,Aug,2017,Other,1401.9930741996588
Sacramento River,2017-09-02,Sep,2017,Other,657.2088764754873
Sacramento River,2017-09-04,Sep,2017,Other,469.21674799089493
Sacramento River,2017-09-05,Sep,2017,Other,461.79561486594645
Sacramento River,2017-09-06,Sep,2017,Other,434.82827903927034
Sacramento River,2017-09-07,Sep,2017,Other,1128.174742655336
Sacramento River,2017-09-08,Sep,2017,Other,2879.2530980631236
Sacramento River,2017-09-09,Sep,2017,Other,863.890982488146
Sacramento River,2017-09-10,Sep,2017,Other,130.63089609770606
Sacramento River,2017-09-11,Sep,2017,Other,399.8043306068385
Sacramento River,2017-09-12,Sep,2017,Other,579.1039612819286
Sacramento River,2017-09-13,Sep,2017,Other,703.4915813172074
Sacramento River,2017-09-14,Sep,2017,Other,1085.256864234641
Sacramento River,2017-09-15,Sep,2017,Other,1083.8503220705866
Sacramento River,2017-09-16,Sep,2017,Other,340.89068702192907
Sacramento River,2017-09-17,Sep,2017,Other,132.9617386440208
Sacramento River,2017-09-18,Sep,2017,Other,368.8243091353627
Sacramento River,2017-09-19,Sep,2017,Other,712.1383426542769
Sacramento River,2017-09-20,Sep,2017,Other,427.63553367607375
Sacramento River,2017-09-21,Sep,2017,Other,388.0988361926198
Sacramento River,2017-09-22,Sep,2017,Other,193.4753561389003
Sacramento River,2017-09-23,Sep,2017,Other,104.25729328323142
Sacramento River,2017-09-25,Sep,2017,Other,297.39968323677306
Sacramento River,2017-09-27,Sep,2017,Other,222.5308918749072
Sacramento River,2017-09-28,Sep,2017,Other,244.52058338819793
Sacramento River,2017-09-29,Sep,2017,Other,351.3113333786847
Sacramento River,2017-10-03,Oct,2017,Other,337.9876880946138
Sacramento River,2017-10-04,Oct,2017,Other,240.7057381394357
Sacramento River,2017-10-05,Oct,2017,Other,228.44325491195974
Sacramento River,2017-10-06,Oct,2017,Other,130.70056007839494
Sacramento River,2017-10-07,Oct,2017,Other,351.37070114250747
Sacramento River,2017-10-10,Oct,2017,Other,210.75530878129783
Sacramento River,2017-10-17,Oct,2017,Other,2345.939655978843
Sacramento River,2017-10-19,Oct,2017,Other,1422.8290142172136
Sacramento River,2017-10-20,Oct,2017,Other,922.5098314850197
Sacramento River,2017-10-27,Oct,2017,Other,2968.073600326487
Sacramento River,2017-11-19,Nov,2017,Other,1315.0027790420684
Sacramento River,2017-11-30,Nov,2017,Other,3732.818779999557
Sacramento River,2017-12-01,Dec,2017,Other,10144.906592997133
Sacramento River,2017-03-21,Mar,2017,Other,1172.3101510833744
Sacramento River,2017-03-29,Mar,2017,Other,4545.4224341332465
Sacramento River,2017-03-30,Mar,2017,Other,2806.2733165101376
Sacramento River,2017-02-14,Feb,2017,Other,4321.930141586928
Sacramento River,2017-03-10,Mar,2017,Other,5899.392400804208
Sacramento River,2017-05-28,May,2017,Other,356.72653573449196
Sacramento River,2017-01-01,Jan,2017,Rice,15.54553255292903
Sacramento River,2017-01-05,Jan,2017,Rice,0.6371869388938632
Sacramento River,2017-01-20,Jan,2017,Rice,0.8517633105837252
Sacramento River,2017-01-26,Jan,2017,Rice,1.9765607982128075
Sacramento River,2017-01-27,Jan,2017,Rice,0.6136945982413174
Sacramento River,2017-01-30,Jan,2017,Rice,2.996342754369354
Sacramento River,2017-01-31,Jan,2017,Rice,6.6610090808651785
Sacramento River,2017-02-01,Feb,2017,Rice,177.85782318837923
Sacramento River,2017-02-06,Feb,2017,Rice,1.9440119170717405
Sacramento River,2017-02-12,Feb,2017,Rice,10.37546311428061
Sacramento River,2017-02-13,Feb,2017,Rice,9.14607628862511
Sacramento River,2017-02-14,Feb,2017,Rice,5.820598856026199
Sacramento River,2017-02-18,Feb,2017,Rice,39.63611364003678
Sacramento River,2017-02-19,Feb,2017,Rice,32.251311639807504
Sacramento River,2017-02-21,Feb,2017,Rice,2.7972404193219895
Sacramento River,2017-02-22,Feb,2017,Rice,97.50880401790187
Sacramento River,2017-02-23,Feb,2017,Rice,22.87924052772394
Sacramento River,2017-02-24,Feb,2017,Rice,59.07316293136771
Sacramento River,2017-02-25,Feb,2017,Rice,39.0490967812351
Sacramento River,2017-02-28,Feb,2017,Rice,21.560953345086293
Sacramento River,2017-03-01,Mar,2017,Rice,402.7592249723666
Sacramento River,2017-03-02,Mar,2017,Rice,83.57589341493004
Sacramento River,2017-03-03,Mar,2017,Rice,53.43053727728283
Sacramento River,2017-03-04,Mar,2017,Rice,78.43034719346853
Sacramento River,2017-03-05,Mar,2017,Rice,52.25235011508167
Sacramento River,2017-03-06,Mar,2017,Rice,2.6953843717649835
Sacramento River,2017-03-07,Mar,2017,Rice,24.636375743989316
Sacramento River,2017-03-08,Mar,2017,Rice,201.872063710905
Sacramento River,2017-03-09,Mar,2017,Rice,189.81533781281848
Sacramento River,2017-03-10,Mar,2017,Rice,136.42749106056874
Sacramento River,2017-03-11,Mar,2017,Rice,62.7940847666692
Sacramento River,2017-03-13,Mar,2017,Rice,38.51513457055049
Sacramento River,2017-03-14,Mar,2017,Rice,133.11739690101578
Sacramento River,2017-03-15,Mar,2017,Rice,127.7206166314906
Sacramento River,2017-03-16,Mar,2017,Rice,184.22051620450017
Sacramento River,2017-03-17,Mar,2017,Rice,232.90884533219145
Sacramento River,2017-03-18,Mar,2017,Rice,60.93373440236331
Sacramento River,2017-03-19,Mar,2017,Rice,8.552421941339361
Sacramento River,2017-03-20,Mar,2017,Rice,33.40016842451568
Sacramento River,2017-03-25,Mar,2017,Rice,16.28450434756808
Sacramento River,2017-03-26,Mar,2017,Rice,0.0094568100334834
Sacramento River,2017-03-27,Mar,2017,Rice,21.203798580173466
Sacramento River,2017-03-28,Mar,2017,Rice,7.566402624314405
Sacramento River,2017-03-29,Mar,2017,Rice,80.05048246272851
Sacramento River,2017-03-30,Mar,2017,Rice,6.603235209848018
Sacramento River,2017-03-31,Mar,2017,Rice,18.336738526433383
Sacramento River,2017-04-01,Apr,2017,Rice,77.64736883966229
Sacramento River,2017-04-02,Apr,2017,Rice,5.10584598999144
Sacramento River,2017-04-03,Apr,2017,Rice,140.57553657029018
Sacramento River,2017-04-04,Apr,2017,Rice,156.97226884992165
Sacramento River,2017-04-05,Apr,2017,Rice,308.89728147622424
Sacramento River,2017-04-06,Apr,2017,Rice,210.83989453310284
Sacramento River,2017-04-07,Apr,2017,Rice,28.30797797623702
Sacramento River,2017-04-08,Apr,2017,Rice,116.6443101941323
Sacramento River,2017-04-09,Apr,2017,Rice,146.41750716492055
Sacramento River,2017-04-10,Apr,2017,Rice,295.9720874375603
Sacramento River,2017-04-11,Apr,2017,Rice,579.3109922200117
Sacramento River,2017-04-12,Apr,2017,Rice,105.7934424653359
Sacramento River,2017-04-13,Apr,2017,Rice,31.030683972945756
Sacramento River,2017-04-14,Apr,2017,Rice,428.57757739906395
Sacramento River,2017-04-15,Apr,2017,Rice,74.2440075170919
Sacramento River,2017-04-16,Apr,2017,Rice,50.1382627044769
Sacramento River,2017-04-17,Apr,2017,Rice,12.475507588590045
Sacramento River,2017-04-18,Apr,2017,Rice,13.403008616993034
Sacramento River,2017-04-19,Apr,2017,Rice,74.51008503315863
Sacramento River,2017-04-20,Apr,2017,Rice,152.37190573135143
Sacramento River,2017-04-21,Apr,2017,Rice,132.07429125572568
Sacramento River,2017-04-22,Apr,2017,Rice,161.98677140336937
Sacramento River,2017-04-23,Apr,2017,Rice,221.35177949143707
Sacramento River,2017-04-24,Apr,2017,Rice,198.9155000208684
Sacramento River,2017-04-25,Apr,2017,Rice,412.29753753256097
Sacramento River,2017-04-26,Apr,2017,Rice,93.31544740828872
Sacramento River,2017-04-27,Apr,2017,Rice,50.11353290626741
Sacramento River,2017-04-28,Apr,2017,Rice,133.3918049365432
Sacramento River,2017-04-29,Apr,2017,Rice,67.43271681085217
Sacramento River,2017-04-30,Apr,2017,Rice,47.982775840802816
Sacramento River,2017-05-01,May,2017,Rice,344.41874092019464
Sacramento River,2017-05-02,May,2017,Rice,54.3519550978956
Sacramento River,2017-05-03,May,2017,Rice,468.13756398324995
Sacramento River,2017-05-04,May,2017,Rice,1123.4690560379995
Sacramento River,2017-05-05,May,2017,Rice,1526.9943474422598
Sacramento River,2017-05-06,May,2017,Rice,1622.247629644622
Sacramento River,2017-05-08,May,2017,Rice,788.0128634157618
Sacramento River,2017-05-09,May,2017,Rice,1059.2471176442355
Sacramento River,2017-05-10,May,2017,Rice,3403.7049586757903
Sacramento River,2017-05-11,May,2017,Rice,4333.87946584232
Sacramento River,2017-05-12,May,2017,Rice,4558.575575309631
Sacramento River,2017-05-13,May,2017,Rice,4042.5550370542037
Sacramento River,2017-05-14,May,2017,Rice,3493.453582367315
Sacramento River,2017-05-15,May,2017,Rice,4933.215435517643
Sacramento River,2017-05-16,May,2017,Rice,2652.8962755305383
Sacramento River,2017-05-17,May,2017,Rice,10160.81516951565
Sacramento River,2017-05-18,May,2017,Rice,3865.6212653562284
Sacramento River,2017-05-19,May,2017,Rice,10449.86549099102
Sacramento River,2017-05-20,May,2017,Rice,9674.803161464122
Sacramento River,2017-05-21,May,2017,Rice,11094.892219742771
Sacramento River,2017-05-22,May,2017,Rice,13355.306088429867
Sacramento River,2017-05-23,May,2017,Rice,16116.612631493093
Sacramento River,2017-05-24,May,2017,Rice,10978.319513870958
Sacramento River,2017-05-25,May,2017,Rice,12991.986279746036
Sacramento River,2017-05-26,May,2017,Rice,17158.58197601493
Sacramento River,2017-05-27,May,2017,Rice,16324.858563090875
Sacramento River,2017-05-29,May,2017,Rice,10080.184030902388
Sacramento River,2017-05-30,May,2017,Rice,12022.689028049703
Sacramento River,2017-05-31,May,2017,Rice,13946.177087160502
Sacramento River,2017-06-01,Jun,2017,Rice,14765.71210915791
Sacramento River,2017-06-02,Jun,2017,Rice,15680.158487357328
Sacramento River,2017-06-03,Jun,2017,Rice,9886.444603271757
Sacramento River,2017-06-04,Jun,2017,Rice,13332.879558648274
Sacramento River,2017-06-05,Jun,2017,Rice,13087.73520949117
Sacramento River,2017-06-06,Jun,2017,Rice,12696.447977305203
Sacramento River,2017-06-07,Jun,2017,Rice,13124.827077003685
Sacramento River,2017-06-08,Jun,2017,Rice,4508.431564630281
Sacramento River,2017-06-09,Jun,2017,Rice,9805.509456679538
Sacramento River,2017-06-10,Jun,2017,Rice,4792.97164746705
Sacramento River,2017-06-11,Jun,2017,Rice,2191.612114540994
Sacramento River,2017-06-12,Jun,2017,Rice,6175.968572489112
Sacramento River,2017-06-13,Jun,2017,Rice,3101.5193008233196
Sacramento River,2017-06-14,Jun,2017,Rice,8392.173922815075
Sacramento River,2017-06-15,Jun,2017,Rice,6817.252984904184
Sacramento River,2017-06-16,Jun,2017,Rice,16240.093284662242
Sacramento River,2017-06-17,Jun,2017,Rice,13239.662826701599
Sacramento River,2017-06-18,Jun,2017,Rice,3784.580349848521
Sacramento River,2017-06-19,Jun,2017,Rice,29410.89875190705
Sacramento River,2017-06-20,Jun,2017,Rice,35925.4428369675
Sacramento River,2017-06-21,Jun,2017,Rice,38151.4255838836
Sacramento River,2017-06-22,Jun,2017,Rice,24606.328021822654
Sacramento River,2017-06-23,Jun,2017,Rice,36287.380911813096
Sacramento River,2017-06-24,Jun,2017,Rice,40767.58388352845
Sacramento River,2017-06-25,Jun,2017,Rice,26244.49802303553
Sacramento River,2017-06-26,Jun,2017,Rice,41458.947555423365
Sacramento River,2017-06-27,Jun,2017,Rice,45106.320861721215
Sacramento River,2017-06-28,Jun,2017,Rice,55266.23582355021
Sacramento River,2017-06-29,Jun,2017,Rice,49337.99760973532
Sacramento River,2017-06-30,Jun,2017,Rice,58649.205090689225
Sacramento River,2017-07-01,Jul,2017,Rice,44531.492274026125
Sacramento River,2017-07-02,Jul,2017,Rice,22419.92526105462
Sacramento River,2017-07-03,Jul,2017,Rice,41727.841298789666
Sacramento River,2017-07-04,Jul,2017,Rice,21341.791350942418
Sacramento River,2017-07-05,Jul,2017,Rice,30184.502436960473
Sacramento River,2017-07-06,Jul,2017,Rice,36898.87778073428
Sacramento River,2017-07-07,Jul,2017,Rice,26521.388575329293
Sacramento River,2017-07-08,Jul,2017,Rice,22340.11325762289
Sacramento River,2017-07-10,Jul,2017,Rice,25507.66241644986
Sacramento River,2017-07-11,Jul,2017,Rice,11399.990867698101
Sacramento River,2017-07-12,Jul,2017,Rice,14121.90634687717
