Date,LIS_DailyAvgInstFlow,LIS_DailyAvgNetFlow,SR_DailyAvgNetFlow
5/18/2013,-11.9,-17.3,NA
5/19/2013,-18.2,-25.5,NA
5/20/2013,-44.3,-47.4,NA
5/21/2013,-73.9,-60.9,NA
5/22/2013,-18.3,-24.9,NA
5/23/2013,-9.09,-12.4,NA
5/24/2013,-27.3,-27.7,NA
5/25/2013,-31,-24,NA
5/26/2013,7.49,6.45,NA
5/27/2013,23.3,24.8,NA
5/28/2013,22.7,27.1,NA
5/29/2013,24.2,28,NA
5/30/2013,26.9,31.6,NA
5/31/2013,53.9,44.5,NA
6/1/2013,41.4,33.6,NA
6/2/2013,11,9.57,NA
6/3/2013,10.6,3.06,NA
6/4/2013,28.2,25.7,NA
6/5/2013,45,43,NA
6/6/2013,30.3,27.8,NA
6/7/2013,-9.8,-1.03,NA
6/8/2013,-23.8,-32.6,NA
6/9/2013,-42.5,-19,NA
6/10/2013,39.7,30.4,NA
6/11/2013,13.2,15.2,NA
6/12/2013,-19.1,-3.91,NA
6/13/2013,3.92,1.65,NA
6/14/2013,-15.3,-10.3,NA
6/15/2013,-21.9,-21.3,NA
6/16/2013,-16,-24.6,NA
6/17/2013,-30,-33.9,NA
6/18/2013,-38.5,-42.1,NA
6/19/2013,-30.1,-37.5,NA
6/20/2013,-35.7,-36,NA
6/21/2013,-20.4,-22.8,NA
6/22/2013,-6.49,-13.9,NA
6/23/2013,-17.9,-5.82,NA
6/24/2013,25.7,26.4,NA
6/25/2013,32.7,39.8,NA
6/26/2013,40.8,47,NA
6/27/2013,47.9,54.6,NA
6/28/2013,52.4,51.5,NA
6/29/2013,29.5,31.1,NA
6/30/2013,44.7,34,NA
7/1/2013,36.2,27.3,NA
7/2/2013,-2.32,-6.96,NA
7/3/2013,-11.5,-25.9,NA
7/4/2013,-45.4,-42.9,NA
7/5/2013,-45,-38.2,NA
7/6/2013,-18.6,-21.8,NA
7/7/2013,-20.9,-15.5,NA
7/8/2013,-0.306,2.56,NA
7/9/2013,5.99,6.91,NA
7/10/2013,-20,-5.68,NA
7/11/2013,-4.67,-1.93,NA
7/12/2013,-2.65,-3.83,NA
7/13/2013,-41.9,-30.7,NA
7/14/2013,-61.6,-59,NA
7/15/2013,-73.1,-74.6,NA
7/16/2013,-61.1,-69.1,NA
7/17/2013,-49.3,-63.2,NA
7/18/2013,-64.6,-78.4,NA
7/19/2013,-90.6,-93.3,NA
7/20/2013,-73.8,-83,NA
7/21/2013,-76.2,-68.9,NA
7/22/2013,-52.6,-46.9,NA
7/23/2013,-48.1,-37.6,NA
7/24/2013,-45.1,-38.2,NA
7/25/2013,-61,-43.8,NA
7/26/2013,-43.1,-39.2,NA
7/27/2013,-51.2,-46.2,NA
7/28/2013,-59.4,-58.2,NA
7/29/2013,-54.8,-59.1,NA
7/30/2013,-33.5,-52.9,NA
7/31/2013,-60.7,-69.6,NA
8/1/2013,-64.7,-68.4,NA
8/2/2013,-48.4,-57.2,NA
8/3/2013,-54.7,-57.2,NA
8/4/2013,-58.6,-53.7,NA
8/5/2013,-45.8,-44.3,NA
8/6/2013,-58.4,-49,NA
8/7/2013,-49.5,-45.5,NA
8/8/2013,-46.5,-44,NA
8/9/2013,-66.1,-57.7,NA
8/10/2013,-69.3,-61.7,NA
8/11/2013,-59.3,-54.1,NA
8/12/2013,-46.9,-45.4,NA
8/13/2013,-44.4,-45,NA
8/14/2013,-44,-47.6,NA
8/15/2013,-35.6,-47.2,NA
8/16/2013,-14.4,-33,NA
8/17/2013,-16.4,-26,NA
8/18/2013,-15.1,-16.4,NA
8/19/2013,-16.9,-14.4,NA
8/20/2013,-18.6,-11.3,NA
8/21/2013,0.266,7.75,NA
8/22/2013,10.4,21.8,NA
8/23/2013,23.9,31.2,NA
8/24/2013,35.7,45.4,NA
8/25/2013,55.4,53.4,NA
8/26/2013,34.3,35.5,NA
8/27/2013,7.6,25.1,NA
8/28/2013,81.3,66.8,NA
8/29/2013,130,110,NA
8/30/2013,135,126,NA
8/31/2013,140,132,NA
9/1/2013,127,126,NA
9/2/2013,119,118,NA
9/3/2013,107,114,NA
9/4/2013,110,111,NA
9/5/2013,100,105,NA
9/6/2013,116,120,NA
9/7/2013,139,139,NA
9/8/2013,143,148,NA
9/9/2013,140,157,NA
9/10/2013,152,177,NA
9/11/2013,209,201,NA
9/12/2013,212,212,NA
9/13/2013,263,240,NA
9/14/2013,285,248,NA
9/15/2013,205,205,NA
9/16/2013,184,186,NA
9/17/2013,163,170,NA
9/18/2013,143,145,NA
9/19/2013,119,120,NA
9/20/2013,96.4,111,NA
9/21/2013,126,125,NA
9/22/2013,126,NA,NA
9/23/2013,NA,NA,NA
9/24/2013,NA,NA,NA
9/25/2013,278,NA,NA
9/26/2013,283,274,NA
9/27/2013,253,252,NA
9/28/2013,218,211,NA
9/29/2013,157,157,NA
9/30/2013,106,102,NA
10/1/2013,36.8,42.7,NA
10/2/2013,0.173,4.84,NA
10/3/2013,-1.51,-4.39,NA
10/4/2013,-25.4,-21.1,NA
10/5/2013,-44.2,-39.4,NA
10/6/2013,-45.3,-43.1,NA
10/7/2013,-50.6,-45,NA
10/8/2013,-54.4,-50.8,NA
10/9/2013,-69.6,-59.1,NA
10/10/2013,-39.2,-36.2,NA
10/11/2013,10.9,0.749,NA
10/12/2013,34.4,19.9,NA
10/13/2013,21.7,9.46,NA
10/14/2013,-21.9,-16.8,NA
10/15/2013,-30.8,-31.7,NA
10/16/2013,-38,-37.5,NA
10/17/2013,-54.4,-48.6,NA
10/18/2013,-52.3,-53.4,NA
10/19/2013,-63.3,-58.6,NA
10/20/2013,-60.5,-57.4,NA
10/21/2013,-50,-51.2,NA
10/22/2013,-59.1,-54.5,NA
10/23/2013,-59.3,-50.8,NA
10/24/2013,-50.1,-45,NA
10/25/2013,-21.8,-31.4,NA
10/26/2013,-21.4,-30.1,NA
10/27/2013,-56.2,-51.3,NA
10/28/2013,-20.5,-35.4,NA
10/29/2013,-15.2,-19.2,NA
10/30/2013,-37,-30.2,NA
10/31/2013,-23.5,-27,NA
11/1/2013,-36,-34.6,NA
11/2/2013,-56.2,-46.7,NA
11/3/2013,-38.4,-41.6,NA
11/4/2013,-46.4,-44.7,NA
11/5/2013,-58.8,-53.1,NA
11/6/2013,-51.2,-51.8,NA
11/7/2013,-56,-51.7,NA
11/8/2013,-44.6,-46.6,NA
11/9/2013,-34.2,-38,NA
11/10/2013,-23.9,-32.4,NA
11/11/2013,-27.2,-30.6,NA
11/12/2013,-31.1,-31,NA
11/13/2013,-37.6,-37.2,NA
11/14/2013,-43,-43.5,NA
11/15/2013,-55.6,-50,NA
11/16/2013,-48.6,-46.4,NA
11/17/2013,-36.5,-37.8,NA
11/18/2013,-41,-34,NA
11/19/2013,-14.8,-17.7,NA
11/20/2013,NA,3.48,NA
11/21/2013,49.1,31.2,NA
11/22/2013,12.6,16.9,NA
11/23/2013,8.64,5.2,NA
11/24/2013,-1.57,-0.64,NA
11/25/2013,-6.26,-6.23,NA
11/26/2013,-9.74,-10.9,NA
11/27/2013,-17.1,-18,NA
11/28/2013,-18.4,-14.6,NA
11/29/2013,2.84,-0.275,NA
11/30/2013,2.46,4.18,NA
12/1/2013,8.37,10.7,NA
12/2/2013,35,30.4,NA
12/3/2013,29.4,42.5,NA
12/4/2013,56.9,53.7,NA
12/5/2013,63.6,63.1,NA
12/6/2013,75.6,74.8,NA
12/7/2013,78.3,77,NA
12/8/2013,83.1,76.4,NA
12/9/2013,68.9,67.8,NA
12/10/2013,50.6,49.2,NA
12/11/2013,29,32.4,NA
12/12/2013,32.6,30.4,NA
12/13/2013,21.8,24.5,NA
12/14/2013,28.7,29.3,NA
12/15/2013,35.2,36.4,NA
12/16/2013,45.7,50.8,NA
12/17/2013,85.7,81.7,NA
12/18/2013,91.6,96,NA
12/19/2013,113,102,NA
12/20/2013,75.2,84.4,NA
12/21/2013,83.4,81.9,NA
12/22/2013,90.1,83.9,NA
12/23/2013,72.8,72.8,NA
12/24/2013,57.5,59,NA
12/25/2013,57.2,56.5,NA
12/26/2013,55.8,55.6,NA
12/27/2013,54.9,55,NA
12/28/2013,55.2,56,NA
12/29/2013,65.7,65.1,NA
12/30/2013,67.6,70.8,NA
12/31/2013,75.7,79.8,NA
1/1/2014,90.9,91.9,NA
1/2/2014,81.3,85.5,NA
1/3/2014,82.5,83.6,NA
1/4/2014,96.1,93.5,NA
1/5/2014,102,95.3,NA
1/6/2014,88.3,84.5,NA
1/7/2014,78.8,78.8,NA
1/8/2014,85.5,82.6,NA
1/9/2014,83,87.4,NA
1/10/2014,98.7,97.9,NA
1/11/2014,109,109,NA
1/12/2014,121,116,NA
1/13/2014,96.9,101,NA
1/14/2014,86.9,88.2,NA
1/15/2014,75.5,79.8,NA
1/16/2014,83.7,86,NA
1/17/2014,101,100,NA
1/18/2014,105,104,NA
1/19/2014,104,103,NA
1/20/2014,106,103,NA
1/21/2014,104,106,NA
1/22/2014,119,117,NA
1/23/2014,124,123,NA
1/24/2014,133,134,NA
1/25/2014,147,144,NA
1/26/2014,145,143,NA
1/27/2014,110,122,NA
1/28/2014,139,134,NA
1/29/2014,166,164,NA
1/30/2014,176,176,NA
1/31/2014,183,181,NA
2/1/2014,170,170,NA
2/2/2014,150,150,NA
2/3/2014,128,130,NA
2/4/2014,123,127,NA
2/5/2014,152,155,NA
2/6/2014,212,213,NA
2/7/2014,324,306,NA
2/8/2014,364,394,NA
2/9/2014,523,498,NA
2/10/2014,515,508,NA
2/11/2014,446,459,NA
2/12/2014,466,468,NA
2/13/2014,510,504,NA
2/14/2014,501,490,NA
2/15/2014,413,414,NA
2/16/2014,323,331,NA
2/17/2014,290,293,NA
2/18/2014,288,284,NA
2/19/2014,265,264,NA
2/20/2014,228,229,NA
2/21/2014,200,203,NA
2/22/2014,195,195,NA
2/23/2014,197,195,NA
2/24/2014,190,190,NA
2/25/2014,177,178,NA
2/26/2014,168,173,NA
2/27/2014,187,192,NA
2/28/2014,254,251,NA
3/1/2014,314,316,NA
3/2/2014,374,367,NA
3/3/2014,388,381,NA
3/4/2014,365,378,NA
3/5/2014,415,412,NA
3/6/2014,462,482,NA
3/7/2014,617,581,NA
3/8/2014,551,549,NA
3/9/2014,456,457,NA
3/10/2014,366,377,NA
3/11/2014,343,334,NA
3/12/2014,276,296,NA
3/13/2014,352,349,NA
3/14/2014,406,390,NA
3/15/2014,324,329,NA
3/16/2014,270,268,NA
3/17/2014,218,225,NA
3/18/2014,199,199,NA
3/19/2014,183,185,NA
3/20/2014,185,183,NA
3/21/2014,174,173,NA
3/22/2014,158,161,NA
3/23/2014,157,159,NA
3/24/2014,170,166,NA
3/25/2014,165,168,NA
3/26/2014,173,172,NA
3/27/2014,171,169,NA
3/28/2014,154,156,NA
3/29/2014,176,183,NA
3/30/2014,236,231,NA
3/31/2014,255,256,NA
4/1/2014,312,312,NA
4/2/2014,364,354,NA
4/3/2014,317,311,NA
4/4/2014,222,235,NA
4/5/2014,202,205,NA
4/6/2014,202,201,NA
4/7/2014,194,192,NA
4/8/2014,182,189,NA
4/9/2014,212,202,NA
4/10/2014,185,191,NA
4/11/2014,195,187,NA
4/12/2014,177,180,NA
4/13/2014,186,180,NA
4/14/2014,157,161,NA
4/15/2014,152,151,NA
4/16/2014,153,155,NA
4/17/2014,156,153,NA
4/18/2014,137,141,NA
4/19/2014,149,149,NA
4/20/2014,154,154,NA
4/21/2014,134,132,NA
4/22/2014,122,125,NA
4/23/2014,136,135,NA
4/24/2014,130,126,NA
4/25/2014,104,100,NA
4/26/2014,77.1,79,NA
4/27/2014,70.6,75,NA
4/28/2014,85.4,86.7,NA
4/29/2014,104,103,NA
4/30/2014,113,110,NA
5/1/2014,104,102,NA
5/2/2014,56.7,64.5,NA
5/3/2014,24.1,37,NA
5/4/2014,50.9,44.7,NA
5/5/2014,45.6,39.8,NA
5/6/2014,20.4,16.5,NA
5/7/2014,0.902,-3.44,NA
5/8/2014,-26.6,-19,NA
5/9/2014,-7.24,-16.6,NA
5/10/2014,-28.4,-20.2,NA
5/11/2014,-9.17,-15.4,NA
5/12/2014,-27.8,NA,NA
5/13/2014,NA,NA,NA
5/14/2014,NA,NA,NA
5/15/2014,-26.4,NA,NA
5/16/2014,-45.9,-37.8,NA
5/17/2014,-42.2,-34.8,NA
5/18/2014,-28.2,-23.9,NA
5/19/2014,-26.1,-24.2,NA
5/20/2014,-18.7,-27.5,NA
5/21/2014,-31.6,-36.2,NA
5/22/2014,-32.2,-36.7,NA
5/23/2014,-24.9,-34.8,NA
5/24/2014,-46.5,-45.6,NA
5/25/2014,-53.5,-60.6,NA
5/26/2014,-95.1,-84.8,NA
5/27/2014,-85.3,-82.2,NA
5/28/2014,-78.3,-78.5,NA
5/29/2014,-107,-96.9,NA
5/30/2014,-112,-106,NA
5/31/2014,-91.4,-89.6,NA
6/1/2014,-74.1,-77.9,NA
6/2/2014,-102,-85.4,NA
6/3/2014,-43.8,-59.2,NA
6/4/2014,-50.5,-55.2,NA
6/5/2014,-67.9,-67.3,NA
6/6/2014,-61.1,-68.5,NA
6/7/2014,-62.2,-67.1,NA
6/8/2014,-71.4,-74.4,NA
6/9/2014,-89.4,-98.1,NA
6/10/2014,-139,-136,NA
6/11/2014,-111,-109,NA
6/12/2014,-51.8,-49.9,NA
6/13/2014,-42.3,-36.1,NA
6/14/2014,-51.2,-46,NA
6/15/2014,-67.3,-60.1,NA
6/16/2014,-72,-62.3,NA
6/17/2014,-54.5,-52.1,NA
6/18/2014,-50,-49.2,NA
6/19/2014,-26.2,-43.4,NA
6/20/2014,-52.3,-54.3,NA
6/21/2014,-63.5,-67.9,NA
6/22/2014,-61.8,-72,NA
6/23/2014,-78.9,-78,NA
6/24/2014,-74.1,-73.2,NA
6/25/2014,-75.1,-68.5,NA
6/26/2014,-47.2,-49.6,NA
6/27/2014,-59.4,-52.1,NA
6/28/2014,-60.2,-55.6,NA
6/29/2014,-54.7,-52.3,NA
6/30/2014,-77.9,-72.2,NA
7/1/2014,-105,-88,NA
7/2/2014,-54.3,-60.1,NA
7/3/2014,-54,-56.1,NA
7/4/2014,-63.2,-65.7,NA
7/5/2014,-60.5,-68.5,NA
7/6/2014,-66.1,-73.4,NA
7/7/2014,-66.4,-76.1,NA
7/8/2014,-83.6,-86.7,NA
7/9/2014,-79.2,-86.5,NA
7/10/2014,-69.3,-77,NA
7/11/2014,-73.2,-67.5,NA
7/12/2014,-75.3,-65.6,NA
7/13/2014,-71.1,-66.4,NA
7/14/2014,-95.6,-80.8,NA
7/15/2014,-112,-96.2,NA
7/16/2014,-107,-96.6,NA
7/17/2014,-82.8,-88.1,NA
7/18/2014,-65.4,-75.9,NA
7/19/2014,-68.1,-77.2,NA
7/20/2014,-77.6,-87.4,NA
7/21/2014,-83.7,-92.1,NA
7/22/2014,-96.8,-95.9,NA
7/23/2014,-71.5,-82.9,NA
7/24/2014,-94.5,-90,NA
7/25/2014,-108,-103,NA
7/26/2014,-108,-102,NA
7/27/2014,-101,-96.1,NA
7/28/2014,-95.4,-85.9,NA
7/29/2014,-71.8,-70.4,NA
7/30/2014,-74.3,-69,NA
7/31/2014,-80.7,-75.1,NA
8/1/2014,-92.9,-88.8,NA
8/2/2014,-99.6,-97,NA
8/3/2014,-75.1,-83,NA
8/4/2014,-65,-74.6,NA
8/5/2014,-69.1,-78.9,NA
8/6/2014,-84.2,-93.9,NA
8/7/2014,-98.6,-102,NA
8/8/2014,-82.8,-91.5,NA
8/9/2014,-95.6,-82.3,NA
8/10/2014,-51.2,-51.1,NA
8/11/2014,-53.3,-46.4,NA
8/12/2014,-72.4,-60,NA
8/13/2014,-60.5,-54.2,NA
8/14/2014,-67.8,-58.6,NA
8/15/2014,-75.9,-72.7,NA
8/16/2014,-79.7,-81.8,NA
8/17/2014,-79.7,-88.7,NA
8/18/2014,-84.2,-90.2,NA
8/19/2014,-60.6,-73.1,NA
8/20/2014,-43.4,-51.2,NA
8/21/2014,-35.8,-47.4,NA
8/22/2014,-73.6,-58.5,NA
8/23/2014,-37.4,-46.2,NA
8/24/2014,-63.1,-54.5,NA
8/25/2014,-55,-47.3,NA
8/26/2014,-34.5,-31.2,NA
8/27/2014,-21.7,-24.6,NA
8/28/2014,-46.5,-37.2,NA
8/29/2014,-51.8,-44.6,NA
8/30/2014,-44,-42,NA
8/31/2014,-43.2,-42.8,NA
9/1/2014,-51,-45.4,NA
9/2/2014,-48.6,-39.9,NA
9/3/2014,-4.12,-30.8,NA
9/4/2014,-12.9,-27.1,NA
9/5/2014,5.2,-6.79,NA
9/6/2014,-1.18,3.81,NA
9/7/2014,12.6,12.6,NA
9/8/2014,-5.9,6.28,NA
9/9/2014,8.41,10.8,NA
9/10/2014,2.65,10.7,NA
9/11/2014,7.33,19.7,NA
9/12/2014,65.8,71.1,NA
9/13/2014,112,118,NA
9/14/2014,124,122,NA
9/15/2014,109,119,NA
9/16/2014,176,160,NA
9/17/2014,239,210,NA
9/18/2014,205,190,NA
9/19/2014,92.9,96.2,NA
9/20/2014,18.1,33.3,NA
9/21/2014,54,47,NA
9/22/2014,46.2,44.3,NA
9/23/2014,1.4,9.34,NA
9/24/2014,-19.1,-13.2,NA
9/25/2014,-28.3,-23.6,NA
9/26/2014,-29.4,-25.6,NA
9/27/2014,-32.9,-27.6,NA
9/28/2014,-15.2,-15.4,NA
9/29/2014,-22.6,-16.8,NA
9/30/2014,-38,-30.7,NA
10/1/2014,-15.1,-25.8,NA
10/2/2014,-17.1,-32,NA
10/3/2014,-25.8,-38.5,NA
10/4/2014,-40.9,-44.7,NA
10/5/2014,-51.6,-47.3,NA
10/6/2014,-47.3,-42.7,NA
10/7/2014,-49.7,-50.2,NA
10/8/2014,-76.5,-68.2,NA
10/9/2014,-89.1,-77.9,NA
10/10/2014,-88.6,-82.8,NA
10/11/2014,-92,-81,NA
10/12/2014,-68.8,-72.4,NA
10/13/2014,-104,-90.7,NA
10/14/2014,-113,-91.1,NA
10/15/2014,-17.1,-54.6,NA
10/16/2014,-26.7,-47.4,NA
10/17/2014,-44,-54.7,NA
10/18/2014,-51.9,-56,NA
10/19/2014,-61.9,-60.3,NA
10/20/2014,-71,-57.8,NA
10/21/2014,-24,-28.4,NA
10/22/2014,-25.4,-25.2,NA
10/23/2014,-53.1,-48.7,NA
10/24/2014,-80,-75.3,NA
10/25/2014,-110,-90.4,NA
10/26/2014,-46.7,-58.6,NA
10/27/2014,-59.4,-53.4,NA
10/28/2014,-57.3,-51.9,NA
10/29/2014,-35.7,-39,NA
10/30/2014,-58.8,-48.3,NA
10/31/2014,-30.6,-54.4,NA
11/1/2014,-21,-35.4,NA
11/2/2014,-9.6,-13.2,NA
11/3/2014,-30.8,-22,NA
11/4/2014,-22.3,-18.7,NA
11/5/2014,-3.58,NA,NA
11/6/2014,NA,NA,NA
11/7/2014,NA,NA,NA
11/8/2014,-30.4,NA,NA
11/9/2014,-44.9,-36.6,NA
11/10/2014,-47,-35.6,NA
11/11/2014,-11.5,-13.9,NA
11/12/2014,21.5,10.2,NA
11/13/2014,28.9,20.1,NA
11/14/2014,17.3,14.5,NA
11/15/2014,9.33,1.42,NA
11/16/2014,-15.1,-13.9,NA
11/17/2014,-33.4,-37.3,NA
11/18/2014,-69,-66.4,NA
11/19/2014,-93.9,-85.9,NA
11/20/2014,-82.3,-81.4,NA
11/21/2014,-72.7,-75.2,NA
11/22/2014,-87.8,-69.4,NA
11/23/2014,-21,-31.3,NA
11/24/2014,-15.6,NA,NA
11/25/2014,NA,NA,NA
11/26/2014,NA,NA,NA
11/27/2014,-37.7,NA,NA
11/28/2014,-54.4,-47.2,NA
11/29/2014,-13.3,-34.2,NA
11/30/2014,-5.1,-11.2,NA
12/1/2014,10.2,18.9,NA
12/2/2014,90.6,99.4,NA
12/3/2014,313,313,NA
12/4/2014,524,483,NA
12/5/2014,397,423,NA
12/6/2014,469,484,NA
12/7/2014,597,557,NA
12/8/2014,424,NA,NA
12/9/2014,NA,NA,NA
12/10/2014,445,NA,NA
12/11/2014,530,642,NA
12/12/2014,1300,1290,NA
12/13/2014,1950,1850,NA
12/14/2014,2070,2090,NA
12/15/2014,2340,2320,NA
12/16/2014,2540,NA,NA
12/17/2014,NA,NA,NA
12/18/2014,NA,NA,NA
12/19/2014,NA,NA,NA
12/20/2014,NA,NA,NA
12/21/2014,NA,NA,NA
12/22/2014,NA,NA,NA
12/23/2014,NA,NA,NA
12/24/2014,NA,NA,NA
12/25/2014,NA,NA,NA
12/26/2014,NA,NA,NA
12/27/2014,NA,NA,NA
12/28/2014,NA,NA,NA
12/29/2014,NA,NA,NA
12/30/2014,NA,NA,NA
12/31/2014,2380,NA,NA
1/1/2015,2020,1980,NA
1/2/2015,1520,1550,NA
1/3/2015,1140,1150,NA
1/4/2015,813,832,NA
1/5/2015,639,652,NA
1/6/2015,525,527,NA
1/7/2015,425,428,NA
1/8/2015,379,383,NA
1/9/2015,347,345,NA
1/10/2015,320,327,NA
1/11/2015,333,329,NA
1/12/2015,316,314,NA
1/13/2015,292,299,NA
1/14/2015,307,300,NA
1/15/2015,288,288,NA
1/16/2015,279,277,NA
1/17/2015,271,270,NA
1/18/2015,263,267,NA
1/19/2015,262,262,NA
1/20/2015,257,263,NA
1/21/2015,286,282,NA
1/22/2015,287,289,NA
1/23/2015,311,309,NA
1/24/2015,332,330,NA
1/25/2015,347,344,NA
1/26/2015,336,345,NA
1/27/2015,390,390,NA
1/28/2015,489,485,NA
1/29/2015,525,506,NA
1/30/2015,404,400,NA
1/31/2015,281,296,NA
2/1/2015,258,266,NA
2/2/2015,270,268,NA
2/3/2015,266,274,NA
2/4/2015,320,314,NA
2/5/2015,338,335,NA
2/6/2015,352,408,NA
2/7/2015,673,680,NA
2/8/2015,1110,1130,NA
2/9/2015,1780,1710,NA
2/10/2015,2140,2150,NA
2/11/2015,2540,2540,NA
2/12/2015,2860,2830,NA
2/13/2015,2930,2900,NA
2/14/2015,2760,2730,NA
2/15/2015,2370,2350,NA
2/16/2015,1820,1830,NA
2/17/2015,1290,1310,NA
2/18/2015,888,921,NA
2/19/2015,726,733,NA
2/20/2015,625,626,NA
2/21/2015,505,522,NA
2/22/2015,488,481,NA
2/23/2015,443,442,NA
2/24/2015,398,404,NA
2/25/2015,396,383,NA
2/26/2015,306,322,NA
2/27/2015,331,337,NA
2/28/2015,411,400,NA
3/1/2015,397,392,NA
3/2/2015,337,344,NA
3/3/2015,314,316,NA
3/4/2015,306,308,NA
3/5/2015,307,308,NA
3/6/2015,309,308,NA
3/7/2015,312,310,NA
3/8/2015,308,307,NA
3/9/2015,302,304,NA
3/10/2015,317,314,NA
3/11/2015,317,320,NA
3/12/2015,319,313,NA
3/13/2015,293,297,NA
3/14/2015,294,287,NA
3/15/2015,275,280,NA
3/16/2015,280,280,NA
3/17/2015,273,277,NA
3/18/2015,294,281,NA
3/19/2015,222,231,NA
3/20/2015,200,211,NA
3/21/2015,254,242,NA
3/22/2015,231,228,NA
3/23/2015,206,218,NA
3/24/2015,275,278,NA
3/25/2015,345,337,NA
3/26/2015,336,330,NA
3/27/2015,289,295,NA
3/28/2015,274,276,NA
3/29/2015,283,278,NA
3/30/2015,272,269,NA
3/31/2015,243,240,NA
4/1/2015,188,195,NA
4/2/2015,165,163,NA
4/3/2015,130,132,NA
4/4/2015,109,114,NA
4/5/2015,126,119,NA
4/6/2015,110,120,NA
4/7/2015,168,166,NA
4/8/2015,208,195,NA
4/9/2015,150,156,NA
4/10/2015,124,128,NA
4/11/2015,123,123,NA
4/12/2015,121,119,NA
4/13/2015,110,114,NA
4/14/2015,123,123,NA
4/15/2015,125,116,NA
