Survey.x,StationCode,Latitude,Longitude,Intersect,geometry,RegionMult,Region
EDSM,18-03-CS02,38.24784,-121.69578,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-03-RV01,38.08569,-121.71131,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-03-RV02,38.10844,-121.71352,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-03-SRR01,38.12899,-121.5815,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-03-SRU01,38.27832,-121.54479,Y,"c(627282.390336334, 4237697.37010251)",MiddleSacRiver,MiddleSacRiver
EDSM,18-03-SSC01,38.56596,-121.55276,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-03-SSC02,38.38645,-121.62388,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-04-CS01,38.36199,-121.63456,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-04-CS02,38.28313,-121.71647,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-04-RV01,38.16359,-121.67725,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-04-SRR01,38.17667,-121.661,Y,"c(617280.575536668, 4226264.34704871)",LowerSacRiver,Downstream
EDSM,18-04-SRU01,38.32579,-121.58519,Y,"c(623667.929244667, 4242910.07276981)",MiddleSacRiver,MiddleSacRiver
EDSM,18-04-SSC01,38.56078,-121.54666,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-04-SSC02,38.39524,-121.61968,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-05-CS01,38.24257,-121.69317,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-05-CS02,38.28574,-121.71727,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-05-RV01,38.16367,-121.67891,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-05-SRR01,38.1645,-121.60542,Y,"c(622169.268699017, 4224985.72096357)",MiddleSacRiver,MiddleSacRiver
EDSM,18-05-SRU01,38.51638,-121.53849,Y,"c(627414.83134984, 4264123.08928022)",MiddleSacRiver,MiddleSacRiver
EDSM,18-05-SSC01,38.39289,-121.62119,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-05-SSC02,38.42183,-121.60731,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-06-CS01,38.37453,-121.62925,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-06-CS02,38.31267,-121.69298,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-06-SRU01,38.5175,-121.53597,Y,"c(627632.55831245, 4264250.86955426)",MiddleSacRiver,MiddleSacRiver
EDSM,18-06-SRU02,38.19292,-121.62371,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-06-SSC01,38.5612,-121.55367,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-06-SSC02,38.38622,-121.6236,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-07-CS01,38.33697,-121.64614,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-07-CS02,38.25124,-121.66863,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-07-RV01,38.15851,-121.68283,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-07-SRU01,38.19939,-121.6125,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-07-SRU02,38.31537,-121.57712,Y,"c(624391.166714471, 4241764.64085704)",MiddleSacRiver,MiddleSacRiver
EDSM,18-07-SSC01,38.5563,-121.57442,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-07-SSC02,38.38984,-121.62236,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-08-CS01,38.19685,-121.65572,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-08-CS02,38.31404,-121.69265,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-08-SRR01,38.17232,-121.63599,Y,"c(619478.357239745, 4225813.60370447)",MiddleSacRiver,MiddleSacRiver
EDSM,18-08-SRU01,38.53533,-121.51826,Y,"c(629144.695448985, 4266254.19642352)",MiddleSacRiver,MiddleSacRiver
EDSM,18-08-SSC01,38.53344,-121.58447,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-08-SSC02,38.49083,-121.58495,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-09-CS01,38.29601,-121.72756,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-09-CS02,38.24896,-121.71083,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-09-RV01,38.13923,-121.69264,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-09-SRR01,38.18253,-121.58665,Y,"c(623783.146615208, 4227011.2946915)",MiddleSacRiver,MiddleSacRiver
EDSM,18-09-SRU01,38.30034,-121.56925,Y,"c(625105.03421322, 4240107.44704677)",MiddleSacRiver,MiddleSacRiver
EDSM,18-09-SSC01,38.56143,-121.5419,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-09-SSC02,38.38434,-121.6249,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-10-CS01,38.37372,-121.62965,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-10-CS02,38.1933,-121.65656,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-10-RV01,38.09391,-121.68634,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-10-SRR01,38.16716,-121.62857,Y,"c(620136.801465542, 4225250.62621355)",MiddleSacRiver,MiddleSacRiver
EDSM,18-10-SRU01,38.51516,-121.54954,Y,"c(626453.577283376, 4263972.45717638)",MiddleSacRiver,MiddleSacRiver
EDSM,18-10-SSC01,38.39223,-121.62534,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-10-SSC02,38.42356,-121.60609,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-11-CS01,38.20525,-121.65939,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-11-CS02,38.18076,-121.66323,Y,"c(617078.699316452, 4226715.36467116)",LowerSacRiver,Downstream
EDSM,18-11-SRR01,38.18656,-121.56128,Y,"c(625998.253338011, 4227492.67391422)",MiddleSacRiver,MiddleSacRiver
EDSM,18-11-SRR02,38.22414,-121.53534,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-11-SSC01,38.39497,-121.62065,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-11-SSC02,38.42145,-121.60781,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-12-CS01,38.33264,-121.65104,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-12-CS02,38.2611,-121.69082,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-12-RV01,38.09596,-121.68655,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-12-RV02,38.10177,-121.71414,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-12-SRU01,38.43438,-121.52703,Y,"c(628559.54628583, 4255039.53077114)",MiddleSacRiver,MiddleSacRiver
EDSM,18-12-SRU02,38.27161,-121.58909,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-12-SSC01,38.40608,-121.61886,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-12-SSC02,38.39673,-121.61968,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-13-CS01,38.27937,-121.64059,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-13-CS02,38.26211,-121.69582,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-13-SRR01,38.22492,-121.55621,Y,"c(626375.93525725, 4231756.17261703)",MiddleSacRiver,MiddleSacRiver
EDSM,18-13-SRU01,38.47152,-121.50547,Y,"c(630374.512369594, 4259191.23068347)",MiddleSacRiver,MiddleSacRiver
EDSM,18-13-SSC01,38.56095,-121.55775,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-13-SSC02,38.51533,-121.58502,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-14-CS01,38.31794,-121.65145,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-14-CS02,38.2409,-121.68523,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-14-RV01,38.15362,-121.68577,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-14-RV02,38.11449,-121.70268,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-14-SRR01,38.13015,-121.57893,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-14-SRU01,38.39937,-121.51397,Y,"c(629762.095728594, 4251172.82277511)",MiddleSacRiver,MiddleSacRiver
EDSM,18-14-SSC01,38.39129,-121.62165,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-14-SSC02,38.4496,-121.5945,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-15-CS01,38.34019,-121.64465,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-15-CS07,38.24436,-121.68878,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-15-SRR01,38.16452,-121.62011,Y,"c(620882.289164348, 4224968.68242226)",MiddleSacRiver,MiddleSacRiver
EDSM,18-15-SRU01,38.46698,-121.50471,Y,"c(630448.995218634, 4258688.50513524)",MiddleSacRiver,MiddleSacRiver
EDSM,18-15-SSC01,38.53726,-121.58475,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-15-SSC02,38.46523,-121.58752,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-16-CS02,38.24842,-121.67538,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-16-CS03,38.26026,-121.74054,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-16-RV01,38.10271,-121.70716,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-16-SRR01,38.24353,-121.51364,Y,"c(630069.149967562, 4233880.20808075)",MiddleSacRiver,MiddleSacRiver
EDSM,18-16-SRU01,38.38289,-121.51974,Y,"c(629287.573780084, 4249335.96599853)",MiddleSacRiver,MiddleSacRiver
EDSM,18-16-SSC01,38.56146,-121.54036,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-16-SSC02,38.39012,-121.62262,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-17-CS01,38.36864,-121.63186,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-17-CS02,38.27863,-121.71213,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-17-CS10,38.24583,-121.68868,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-17-RV01,38.14054,-121.69418,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-17-SRU01,38.19246,-121.63659,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-17-SRU02,38.51559,-121.54694,Y,"c(626679.506985829, 4264023.75175192)",MiddleSacRiver,MiddleSacRiver
EDSM,18-17-SSC01,38.53178,-121.58531,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-17-SSC02,38.47213,-121.58515,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-18-CS01,38.37931,-121.63114,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-18-CS02,38.31284,-121.65263,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-18-RV01,38.17846,-121.66767,Y,"c(616693.481865454, 4226454.55042035)",LowerSacRiver,Downstream
EDSM,18-18-SRR01,38.18359,-121.56822,Y,"c(625395.53362239, 4227153.69652531)",MiddleSacRiver,MiddleSacRiver
EDSM,18-18-SRU01,38.46824,-121.50429,Y,"c(630483.366773991, 4258828.92189802)",MiddleSacRiver,MiddleSacRiver
EDSM,18-18-SSC01,38.56108,-121.54475,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-18-SSC02,38.55313,-121.57767,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-19-CS01,38.31155,-121.65613,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-19-CS02,38.26006,-121.75718,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-19-CS03,38.24221,-121.68493,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-19-LSSC01,38.19404,-121.65674,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-19-LSSC02,38.24093,-121.67231,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-19-RV01,38.11668,-121.69851,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-19-RV02,38.13791,-121.68807,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-19-SRU01,38.36013,-121.52365,Y,"c(628986.459283897, 4246804.86968857)",MiddleSacRiver,MiddleSacRiver
EDSM,18-19-SRU02,38.30385,-121.5729,Y,"c(624779.847920247, 4240492.002714)",MiddleSacRiver,MiddleSacRiver
EDSM,18-20-CS02,38.24215,-121.68818,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-20-CS03,38.26578,-121.69244,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-20-CS04,38.26843,-121.70129,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-20-LSSC01,38.24391,-121.67001,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-20-RV01,38.09531,-121.7316,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-20-RV02,38.09367,-121.68585,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-20-SRR01,38.17227,-121.64807,Y,"c(618420.262099762, 4225792.55255786)",MiddleSacRiver,MiddleSacRiver
EDSM,18-20-SRR02,38.1891,-121.57874,Y,"c(624464.766934104, 4227750.9224619)",MiddleSacRiver,MiddleSacRiver
EDSM,18-20-USSC01,38.55746,-121.57127,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-20-USSC02,38.53298,-121.58429,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-21-CS01,38.26019,-121.66999,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-21-CS02,38.24235,-121.68104,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-21-CS03,38.26328,-121.69176,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-21-LSSC01,38.19759,-121.65688,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-21-RV01,38.15232,-121.68893,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-21-RV02,38.09548,-121.73118,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-21-SRR01,38.21635,-121.54228,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-21-SRU01,38.30524,-121.57251,Y,"c(624811.567131369, 4240646.77198427)",MiddleSacRiver,MiddleSacRiver
EDSM,18-21-USSC01,38.5095,-121.58472,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-22-CS01,38.30978,-121.66708,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-22-CS02,38.2602,-121.74716,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-22-CS03,38.25106,-121.68876,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-22-LSSC01,38.40648,-121.61448,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-22-LSSC02,38.23164,-121.67464,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-22-RV01,38.1617,-121.67791,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-22-RV02,38.11664,-121.7052,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-22-SRR01,38.19479,-121.56269,Y,"c(625860.5968172, 4228403.9910892)",MiddleSacRiver,MiddleSacRiver
EDSM,18-22-SRU01,38.31026,-121.57667,Y,"c(624439.243166552, 4241198.21052407)",MiddleSacRiver,MiddleSacRiver
EDSM,18-22-USSC01,38.51568,-121.58458,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-23-CS01,38.28331,-121.66472,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-23-CS02,38.28352,-121.71688,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-23-CS03,38.24734,-121.71101,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-23-CS04,38.23725,-121.68406,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-23-LSSC01,38.35807,-121.63643,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-23-LSSC02,38.25698,-121.66748,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-23-LSSC03,38.41472,-121.61094,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-23-RV01,38.10125,-121.72416,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-23-SRU01,38.48135,-121.54859,Y,"c(626595.579606335, 4260221.88074239)",MiddleSacRiver,MiddleSacRiver
EDSM,18-23-SRU02,38.41017,-121.51797,Y,"c(629393.530735397, 4252365.65955633)",MiddleSacRiver,MiddleSacRiver
EDSM,18-23-USSC01,38.52999,-121.58438,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-24-CS01,38.23431,-121.68129,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-24-CS02,38.25022,-121.67378,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-24-CS03,38.28604,-121.71823,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-24-LSSC01,38.24684,-121.6705,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-24-RV01,38.11283,-121.69905,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-24-RV02,38.14369,-121.68613,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-24-SRU01,38.42244,-121.52719,Y,"c(628566.75436225, 4253714.34221973)",MiddleSacRiver,MiddleSacRiver
EDSM,18-24-SRU02,38.45411,-121.50167,Y,"c(630737.453262852, 4257264.6389905)",MiddleSacRiver,MiddleSacRiver
EDSM,18-24-USSC01,38.50267,-121.58434,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-24-USSC02,38.53764,-121.58473,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-25-CS01,38.30851,-121.66698,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-25-CS02,38.25727,-121.73001,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-25-LSSC01,38.46183,-121.58866,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-25-LSSC02,38.27962,-121.66059,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-25-RV01,38.10214,-121.72043,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-25-SRR01,38.17497,-121.59193,Y,"c(623333.440355845, 4226165.37095725)",MiddleSacRiver,MiddleSacRiver
EDSM,18-25-SRU01,38.22969,-121.60269,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-25-USSC01,38.55576,-121.57537,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-26-CS01,38.24373,-121.68209,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-26-CS02,38.24471,-121.6958,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-26-CS03,38.25888,-121.67057,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-26-LSSC01,38.42112,-121.60793,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-26-LSSC02,38.22096,-121.6724,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-26-RV01,38.16598,-121.67737,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-26-RV02,38.17676,-121.66383,Y,"c(617032.546283363, 4226270.75618477)",LowerSacRiver,Downstream
EDSM,18-26-SRR01,38.19038,-121.55595,Y,"c(626458.453914337, 4227923.81812906)",MiddleSacRiver,MiddleSacRiver
EDSM,18-26-SRU01,38.30553,-121.59916,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,18-26-USSC01,38.56274,-121.54804,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-27-CS01,38.2993,-121.72953,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-27-CS02,38.25766,-121.73756,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-27-CS03,38.24687,-121.70209,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-27-LSSC01,38.18526,-121.65986,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-27-LSSC02,38.2003,-121.65844,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-27-RV01,38.14011,-121.68958,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-27-RV02,38.0959,-121.73227,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-27-SRU01,38.40139,-121.51283,Y,"c(629858.032378907, 4251398.58346644)",MiddleSacRiver,MiddleSacRiver
EDSM,18-27-SRU02,38.577,-121.51103,Y,"c(629699.95906436, 4270888.54114471)",MiddleSacRiver,MiddleSacRiver
EDSM,18-28-CS01,38.29575,-121.72677,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-28-CS02,38.28467,-121.69269,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-28-CS03,38.29188,-121.66055,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-28-CS04,38.24228,-121.68885,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-28-LSSC01,38.39829,-121.61852,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-28-LSSC02,38.26934,-121.66314,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-28-RV01,38.15366,-121.68975,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-28-RV02,38.11949,-121.7024,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,18-28-SRU01,38.47491,-121.53991,Y,"c(627364.041943367, 4259519.21097502)",MiddleSacRiver,MiddleSacRiver
EDSM,18-28-SRU02,38.46935,-121.50577,Y,"c(630352.248416869, 4258950.00186181)",MiddleSacRiver,MiddleSacRiver
EDSM,18-28-USSC01,38.52454,-121.58386,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-29-CS04,38.25558,-121.67143,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-29-CS05,38.25028,-121.71808,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-29-LSSC01,38.2523,-121.66904,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-29-LSSC02,38.32833,-121.64812,N,"c(NA, NA)",CacheSloughComplex,Downstream
