StnCode,Year,Month,Day,Method,Species,FL,MarkCode,MeanTrans,Trans-2yrs,Trans-3yrs,Trans-4yrs,WYtype,WYtype-2yrs,WYtype-3yrs,WYtype-4yrs,Flow Action (Y/N),FA  Type,FA Start,FA End,fish caught,days since FA end,,,,
PCS,2001,11,9,FKTR,CHN,912,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,12,3,FKTR,CHN,856,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,12,5,FKTR,CHN,915,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,1,25,FKTR,CHN,820,O,113.48,109.06,106.70,84.97,2,4,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,2,13,FKTR,CHN,729,n/p,113.48,109.06,106.70,84.97,2,4,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,2,20,FKTR,RBT,593,n/p,113.48,109.06,106.70,84.97,2,4,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,3,26,FKTR,CHN,806,None,113.48,109.06,106.70,84.97,2,4,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,7,FKTR,CHN,655,None,113.48,109.06,106.70,84.97,2,4,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,11,FKTR,CHN,791,None,113.48,109.06,106.70,84.97,2,4,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,16,FKTR,CHN,604,None,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,22,FKTR,CHN,555,None,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,22,FKTR,CHN,962,None,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,25,FKTR,CHN,665,None,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,10,31,FKTR,RBT,418,n/p,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,11,4,FKTR,CHN,583,None,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2002,11,12,FKTR,CHN,864,None,113.48,109.06,106.70,84.97,2,4,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,1,15,FKTR,RBT,229,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,3,10,FKTR,RBT,480,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,11,5,FKTR,CHN,975,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,11,10,FKTR,CHN,646,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,11,10,FKTR,CHN,865,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,11,10,FKTR,CHN,875,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,11,21,FKTR,RBT,330,n/p,104.64,92.60,109.06,106.70,4,2,4,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,11,24,FKTR,CHN,909,n/p,104.64,92.60,109.06,106.70,4,2,4,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2003,12,5,FKTR,CHN,750,n/p,104.64,92.60,109.06,106.70,4,2,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2004,6,22,FKTR,CHN,781,None,113.49,113.48,92.60,109.06,3,2,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2004,10,12,FKTR,CHN,560,None,113.49,113.48,92.60,109.06,3,2,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2004,10,25,FKTR,CHN,667,None,113.49,113.48,92.60,109.06,3,2,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2005,1,12,FKTR,RBT,487,None,120.31,104.64,113.48,92.60,4,4,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2005,10,14,FKTR,CHN,637,n/p,120.31,104.64,113.48,92.60,4,4,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2005,10,21,FKTR,CHN,510,n/p,120.31,104.64,113.48,92.60,4,4,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2005,10,24,FKTR,CHN,600,n/p,120.31,104.64,113.48,92.60,4,4,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2005,11,11,FKTR,CHN,867,None,120.31,104.64,113.48,92.60,4,4,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,1,30,FKTR,CHN,824,None,118.93,113.49,104.64,113.48,5,3,2,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,1,30,FKTR,CHN,770,None,118.93,113.49,104.64,113.48,5,3,4,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,2,3,FKTR,CHN,776,None,118.93,113.49,104.64,113.48,5,3,4,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,2,8,FKTR,CHN,862,None,118.93,113.49,104.64,113.48,5,3,4,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,26,FKTR,CHN,848,n/p,118.93,113.49,104.64,113.48,5,3,4,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,26,FKTR,CHN,650,n/p,118.93,113.49,104.64,113.48,5,3,3,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,26,FKTR,CHN,762,n/p,118.93,113.49,104.64,113.48,5,3,3,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,26,FKTR,CHN,751,n/p,118.93,113.49,104.64,113.48,5,3,3,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,30,FKTR,CHN,802,n/p,118.93,113.49,104.64,113.48,5,3,3,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,30,FKTR,CHN,880,n/p,118.93,113.49,104.64,113.48,5,3,3,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,10,30,FKTR,CHN,700,n/p,118.93,113.49,104.64,113.48,5,3,3,2,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,11,9,FKTR,CHN,949,None,118.93,113.49,104.64,113.48,5,3,3,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2006,11,15,FKTR,CHN,933,None,118.93,113.49,104.64,113.48,5,3,3,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,2,16,FKTR,RBT,468,n/p,123.48,120.31,113.49,104.64,2,4,3,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,2,26,FKTR,RBT,435,n/p,123.48,120.31,113.49,104.64,2,4,3,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,5,7,FKTR,CHN,528,None,123.48,120.31,113.49,104.64,2,4,3,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,10,10,FKTR,CHN,858,n/p,123.48,120.31,113.49,104.64,2,4,3,4,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,10,22,FKTR,CHN,620,None,123.48,120.31,113.49,104.64,2,4,3,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,11,16,FKTR,CHN,675,A,123.48,120.31,113.49,104.64,2,4,3,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2007,12,21,FKTR,CHN,735,A,123.48,120.31,113.49,104.64,2,4,3,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2008,2,29,FKTR,CHN,685,n/p,152.93,118.93,120.31,113.49,1,5,4,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2008,3,21,FKTR,CHN,665,n/p,152.93,118.93,120.31,113.49,1,5,4,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2008,4,11,FKTR,CHN,794,n/p,152.93,118.93,120.31,113.49,1,5,4,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2008,4,18,FKTR,CHN,680,n/p,152.93,118.93,120.31,113.49,1,5,4,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2009,1,7,FKTR,RBT,417,n/p,137.55,123.48,118.93,120.31,2,2,4,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2009,10,14,FKTR,CHN,645,n/p,137.55,123.48,118.93,120.31,2,2,4,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2009,11,10,FKTR,CHN,880,n/p,137.55,123.48,118.93,120.31,2,2,5,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2009,11,12,FKTR,CHN,550,n/p,137.55,123.48,118.93,120.31,2,2,5,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2010,6,23,FKTR,CHN,820,A,139.48,152.93,123.48,118.93,3,1,5,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2010,10,14,FKTR,CHN,750,n/p,139.48,152.93,123.48,118.93,3,1,5,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2010,12,8,FKTR,CHN,831,n/p,139.48,152.93,123.48,118.93,3,1,2,3,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2011,3,15,FKTR,RBT,233,n/p,132.75,137.55,152.93,123.48,5,2,2,4,Y,NF,8/23/2011,10/24/2011,3/15/2011,n/a,,,,
PCS,2011,6,3,FKTR,CHN,778,A,132.75,137.55,152.93,123.48,5,2,2,4,Y,NF,8/23/2011,10/24/2011,6/3/2011,n/a,,,,
PCS,2011,10,28,FKTR,CHN,590,n/p,132.75,137.55,152.93,123.48,5,2,2,4,Y,NF,8/23/2011,10/24/2011,10/28/2011,4,,,,
PCS,2011,11,8,FKTR,CHN,590,n/p,132.75,137.55,152.93,123.48,5,2,1,4,Y,NF,8/23/2011,10/24/2011,11/8/2011,15,,,,
PCS,2012,3,29,FKTR,RBT,246,C,109.33,139.48,137.55,152.93,3,3,1,4,Y,CA,8/26/2012,10/2/2012,3/29/2012,157,,,,
PCS,2012,4,10,FKTR,CHN,441,None,109.33,139.48,137.55,152.93,3,3,1,4,Y,CA,8/26/2012,10/2/2012,4/10/2012,169,,,,
PCS,2012,5,4,FKTR,CHN,425,None,109.33,139.48,137.55,152.93,3,3,1,4,Y,CA,8/26/2012,10/2/2012,5/4/2012,193,,,,
PCS,2012,10,23,FKTR,CHN,740,A,109.33,139.48,137.55,152.93,3,3,2,5,Y,CA,8/26/2012,10/2/2012,10/23/2012,21,,,,
PCS,2012,10,31,FKTR,CHN,595,None,109.33,139.48,137.55,152.93,3,3,2,5,Y,CA,8/26/2012,10/2/2012,10/31/2012,29,,,,
PCS,2012,11,8,FKTR,CHN,840,None,109.33,139.48,137.55,152.93,3,3,2,5,Y,CA,8/26/2012,10/2/2012,11/8/2012,37,,,,
PCS,2012,11,27,FKTR,CHN,784,None,109.33,139.48,137.55,152.93,3,3,3,5,Y,CA,8/26/2012,10/2/2012,11/27/2012,56,,,,
PCS,2013,2,22,FKTR,CHN,730,None,99.17,132.75,139.48,137.55,2,5,3,2,Y,NF,8/22/2013,10/2/2013,2/22/2013,143,,,,
PCS,2013,4,10,FKTR,CHN,856,None,99.17,132.75,139.48,137.55,2,5,3,2,Y,NF,8/22/2013,10/2/2013,4/10/2013,190,,,,
PCS,2013,9,27,FKTR,CHN,831,None,99.17,132.75,139.48,137.55,2,5,3,2,Y,NF,8/22/2013,10/2/2013,9/27/2013,0,,,,
PCS,2013,10,8,FKTR,CHN,845,None,99.17,132.75,139.48,137.55,2,5,3,1,Y,NF,8/22/2013,10/2/2013,10/8/2013,6,,,,
PCS,2013,10,9,FKTR,CHN,852,None,99.17,132.75,139.48,137.55,2,5,3,1,Y,NF,8/22/2013,10/2/2013,10/9/2013,7,,,,
PCS,2013,10,23,FKTR,CHN,638,None,99.17,132.75,139.48,137.55,2,5,5,1,Y,NF,8/22/2013,10/2/2013,10/23/2013,21,,,,
PCS,2013,10,29,FKTR,CHN,878,A,99.17,132.75,139.48,137.55,2,5,5,2,Y,NF,8/22/2013,10/2/2013,10/29/2013,27,,,,
PCS,2013,11,1,FKTR,CHN,998,A,99.17,132.75,139.48,137.55,2,5,5,2,Y,NF,8/22/2013,10/2/2013,11/1/2013,30,,,,
PCS,2013,11,5,FKTR,CHN,584,A,99.17,132.75,139.48,137.55,2,5,5,2,Y,NF,8/22/2013,10/2/2013,11/5/2013,34,,,,
PCS,2013,11,7,FKTR,CHN,889,A,99.17,132.75,139.48,137.55,2,5,5,3,Y,NF,8/22/2013,10/2/2013,11/7/2013,36,,,,
PCS,2013,11,7,FKTR,CHN,741,None,99.17,132.75,139.48,137.55,2,5,5,3,Y,NF,8/22/2013,10/2/2013,11/7/2013,36,,,,
PCS,2013,11,13,FKTR,CHN,899,A,99.17,132.75,139.48,137.55,2,5,5,3,Y,NF,8/22/2013,10/2/2013,11/13/2013,42,,,,
PCS,2013,11,13,FKTR,CHN,771,None,99.17,132.75,139.48,137.55,2,5,5,3,Y,NF,8/22/2013,10/2/2013,11/13/2013,42,,,,
PCS,2013,11,15,FKTR,CHN,974,None,99.17,132.75,139.48,137.55,2,5,5,3,Y,NF,8/22/2013,10/2/2013,11/15/2013,44,,,,
PCS,2013,11,19,FKTR,CHN,649,None,99.17,132.75,139.48,137.55,2,5,5,3,Y,NF,8/22/2013,10/2/2013,11/19/2013,48,,,,
PCS,2013,11,20,FKTR,CHN,758,None,99.17,132.75,139.48,137.55,2,5,5,5,Y,NF,8/22/2013,10/2/2013,11/20/2013,49,/,,,
PCS,2013,11,21,FKTR,CHN,900,A,99.17,132.75,139.48,137.55,2,5,5,5,Y,NF,8/22/2013,10/2/2013,11/21/2013,50,,,,
PCS,2013,11,22,FKTR,CHN,763,None,99.17,132.75,139.48,137.55,2,5,5,5,Y,NF,8/22/2013,10/2/2013,11/22/2013,51,,,,
PCS,2014,9,3,FKTR,CHN,890,None,235.83,109.33,132.75,139.48,1,3,5,5,Y,NF,9/9/2014,9/23/2014,9/3/2014,336,,,,
PCS,2014,9,10,FKTR,CHN,565,n/p,235.83,109.33,132.75,139.48,1,3,5,5,Y,NF,9/9/2014,9/23/2014,9/10/2014,0,,,,
PCS,2014,10,10,FKTR,CHN,795,n/p,235.83,109.33,132.75,139.48,1,3,5,5,Y,NF,9/9/2014,9/23/2014,10/10/2014,17,,,,
PCS,2015,10,15,FKTR,CHN,765,None,295.32,99.17,109.33,132.75,1,2,5,5,Y,NF,8/21/2015,10/1/2015,10/15/2015,14,,,,
PCS,2015,10,20,FKTR,CHN,750,None,295.32,99.17,109.33,132.75,1,2,5,5,Y,NF,8/21/2015,10/1/2015,10/20/2015,19,,,,
PCS,2015,10,22,FKTR,CHN,955,None,295.32,99.17,109.33,132.75,1,2,3,5,Y,NF,8/21/2015,10/1/2015,10/22/2015,21,,,,
PCS,2015,10,27,FKTR,CHN,535,None,295.32,99.17,109.33,132.75,1,2,3,5,Y,NF,8/21/2015,10/1/2015,10/27/2015,26,,,,
PCS,2015,10,27,FKTR,CHN,550,None,295.32,99.17,109.33,132.75,1,2,3,5,Y,NF,8/21/2015,10/1/2015,10/27/2015,26,,,,
PCS,2015,10,27,FKTR,CHN,810,None,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/27/2015,26,,,,
PCS,2015,10,27,FKTR,CHN,704,A,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/27/2015,26,,,,
PCS,2015,10,28,FKTR,CHN,762,None,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/28/2015,27,,,,
PCS,2015,10,28,FKTR,CHN,585,None,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/28/2015,27,,,,
PCS,2015,10,29,FKTR,CHN,714,None,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/29/2015,28,,,,
PCS,2015,10,29,FKTR,CHN,772,A,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/29/2015,28,,,,
PCS,2015,10,30,FKTR,CHN,785,None,295.32,99.17,109.33,132.75,1,2,2,5,Y,NF,8/21/2015,10/1/2015,10/30/2015,29,,,,
PCS,2015,11,3,FKTR,CHN,816,A,295.32,99.17,109.33,132.75,1,2,2,3,Y,NF,8/21/2015,10/1/2015,11/3/2015,33,,,,
PCS,2015,11,3,FKTR,CHN,758,None,295.32,99.17,109.33,132.75,1,2,2,3,Y,NF,8/21/2015,10/1/2015,11/3/2015,33,,,,
PCS,2015,11,3,FKTR,CHN,835,None,295.32,99.17,109.33,132.75,1,2,2,3,Y,NF,8/21/2015,10/1/2015,11/3/2015,33,,,,
PCS,2015,11,3,FKTR,CHN,699,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/3/2015,33,,,,
PCS,2015,11,3,FKTR,CHN,514,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/3/2015,33,,,,
PCS,2015,11,3,FKTR,CHN,344,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/3/2015,33,,,,
PCS,2015,11,4,FKTR,CHN,795,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/4/2015,34,,,,
PCS,2015,11,4,FKTR,CHN,850,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/4/2015,34,,,,
PCS,2015,11,10,FKTR,CHN,849,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/10/2015,40,,,,
PCS,2015,11,10,FKTR,CHN,798,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/10/2015,40,,,,
PCS,2015,11,10,FKTR,CHN,526,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/10/2015,40,,,,
PCS,2015,11,13,FKTR,CHN,782,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/13/2015,43,,,,
PCS,2015,11,13,FKTR,CHN,775,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/13/2015,43,,,,
PCS,2015,11,13,FKTR,CHN,843,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/13/2015,43,,,,
PCS,2015,11,13,FKTR,CHN,690,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/13/2015,43,,,,
PCS,2015,11,13,FKTR,CHN,749,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/13/2015,43,,,,
PCS,2015,11,13,FKTR,CHN,630,A,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/13/2015,43,,,,
PCS,2015,11,17,FKTR,CHN,833,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/17/2015,47,,,,
PCS,2015,11,17,FKTR,CHN,713,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/17/2015,47,,,,
PCS,2015,11,17,FKTR,CHN,745,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/17/2015,47,,,,
PCS,2015,11,17,FKTR,CHN,625,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/17/2015,47,,,,
PCS,2015,11,18,FKTR,CHN,661,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/18/2015,48,,,,
PCS,2015,11,18,FKTR,CHN,550,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/18/2015,48,,,,
PCS,2015,11,19,FKTR,CHN,692,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/19/2015,49,,,,
PCS,2015,11,19,FKTR,CHN,845,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/19/2015,49,,,,
PCS,2015,11,19,FKTR,CHN,707,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/19/2015,49,,,,
PCS,2015,11,20,FKTR,CHN,841,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/20/2015,50,,,,
PCS,2015,11,20,FKTR,CHN,707,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/20/2015,50,,,,
PCS,2015,11,24,FKTR,CHN,808,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/24/2015,54,,,,
PCS,2015,11,24,FKTR,CHN,731,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/24/2015,54,,,,
PCS,2015,11,24,FKTR,CHN,671,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/24/2015,54,,,,
PCS,2015,11,24,FKTR,CHN,544,A,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/24/2015,54,,,,
PCS,2015,11,24,FKTR,CHN,736,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/24/2015,54,,,,
PCS,2015,11,24,FKTR,CHN,731,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/24/2015,54,,,,
PCS,2015,11,25,FKTR,CHN,843,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/25/2015,55,,,,
PCS,2015,11,25,FKTR,CHN,700,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/25/2015,55,,,,
PCS,2015,11,25,FKTR,CHN,564,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,11/25/2015,55,,,,
PCS,2015,12,1,FKTR,CHN,617,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,12/1/2015,61,,,,
PCS,2015,12,8,FKTR,CHN,814,A,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,12/8/2015,68,,,,
PCS,2015,12,8,FKTR,CHN,901,None,295.32,99.17,109.33,132.75,1,2,2,2,Y,NF,8/21/2015,10/1/2015,12/8/2015,68,,,,
