StationCode,Year,Week,Flow
LIS,2015,38,231.378125
LIS,2015,39,66.83779761904762
LIS,2015,40,-28.4125
LIS,2015,41,-70.58035714285714
LIS,2015,42,-64.17113095238095
LIS,2015,43,-67.41666666666667
LIS,2015,44,-79.0610119047619
LIS,2015,45,-89.73511904761905
LIS,2015,46,-72.74125
LIS,2016,22,5.645
LIS,2016,23,-30.632440476190474
LIS,2016,24,-23.842113095238094
LIS,2016,25,-14.08125
LIS,2016,26,-7.85
LIS,2016,27,-82.03422619047619
LIS,2016,28,-46.898809523809526
LIS,2016,29,289.8139880952381
LIS,2016,30,476.26339285714283
LIS,2016,31,131.2626488095238
LIS,2016,32,-53.34077380952381
LIS,2016,33,-29.422619047619047
LIS,2016,34,-27.571782178217823
LIS,2016,35,1.3938988095238096
LIS,2016,36,-8.604315476190477
LIS,2016,37,15.151190476190477
LIS,2016,38,1.3291666666666666
LIS,2017,28,-12.351041666666667
LIS,2017,29,-38.913690476190474
LIS,2017,30,-1.3892857142857142
LIS,2017,31,-31.169642857142858
LIS,2017,32,-12.168005952380952
LIS,2017,33,-27.027083333333334
LIS,2017,34,-19.345386904761906
LIS,2017,35,-15.779315476190476
LIS,2017,36,-13.6875
LIS,2017,37,82.67857142857143
LIS,2017,38,-36.86369047619048
LIS,2017,39,-61.930059523809526
LIS,2017,40,-68.74702380952381
LIS,2017,41,-59.55952380952381
LIS,2017,42,-54.61607142857143
LIS,2017,43,-59.888392857142854
LIS,2017,44,-41.27430555555556
LIS,2018,28,-82.84027777777777
LIS,2018,29,-89.66369047619048
LIS,2018,30,-100.92708333333333
LIS,2018,31,-82.75
LIS,2018,32,-74.33482142857143
LIS,2018,33,-68.49553571428571
LIS,2018,34,-67.38244047619048
LIS,2018,35,235.94880952380953
LIS,2018,36,376.75892857142856
LIS,2018,37,445.2291666666667
LIS,2018,38,335.73660714285717
LIS,2018,39,0.3300595238095237
LIS,2018,40,-72.54613095238095
LIS,2018,41,-89.3274111675127
LIS,2018,42,-46.210759493670885
LIS,2018,43,-12.02470238095238
LIS,2018,44,-22.34672619047619
LIS,2018,45,-40.73511904761905
LIS,2019,28,-35.77731958762887
LIS,2019,29,-24.91513002364066
LIS,2019,30,-50.827220077220076
LIS,2019,31,-40.245173745173744
LIS,2019,32,-45.51636904761905
LIS,2019,33,-48.32142857142857
LIS,2019,34,-11.992113095238095
LIS,2019,35,472.6979166666667
LIS,2019,36,646.2946428571429
LIS,2019,37,657.9002976190476
LIS,2019,38,360.1636904761905
LIS,2019,39,28.257440476190474
LIS,2019,40,-23.714880952380952
LIS,2019,41,-37.299107142857146
LIS,2019,42,-64.83928571428571
LIS,2019,43,-53.64732142857143
LIS,2019,44,-49.07142857142857
LIS,2019,45,-58.442708333333336
RCS,2013,27,146.796875
RCS,2013,28,145.0254110612855
RCS,2013,29,152.339590443686
RCS,2013,32,141.47737556561086
RCS,2013,33,135.5327380952381
RCS,2013,34,153.31696428571428
RCS,2013,35,120.2467261904762
RCS,2013,36,125.92399403874813
RCS,2013,37,112.7389880952381
RCS,2013,38,93.55401785714285
RCS,2013,39,238
RCS,2013,43,106.2701754385965
RCS,2013,44,29.75863095238095
RCS,2013,45,56.46567164179105
RCS,2013,46,51.84791666666667
RCS,2014,30,74.46458333333334
RCS,2014,31,53.59894419306184
RCS,2014,32,57.683457526080474
RCS,2014,33,68.03645833333333
RCS,2014,34,60.65148809523809
RCS,2014,35,67.71994047619047
RCS,2014,36,103.53422619047619
RCS,2014,37,121.71428571428571
RCS,2014,38,119.40922619047619
RCS,2014,39,87.29166666666667
RCS,2014,40,71.60119047619048
RCS,2014,41,66.29166666666667
RCS,2014,42,44.21861471861472
RCS,2014,43,105.14342629482071
RCS,2014,44,61.27440476190476
RCS,2014,45,54.97630208333333
RCS,2015,32,173.0340073529412
RCS,2015,33,146.40625
RCS,2015,34,351.39419642857143
RCS,2015,35,344.8020833333333
RCS,2015,36,426.8971684053651
RCS,2015,37,431.79910714285717
RCS,2015,38,281.9389880952381
RCS,2015,39,133.8090909090909
RCS,2015,45,47.869565217391305
RCS,2015,46,16.336286919831224
RCS,2016,22,76.61025641025641
RCS,2016,23,151.13643659711076
RCS,2016,24,116.92161016949153
RCS,2016,25,147.06695464362852
RCS,2016,26,107.73451086956521
RCS,2016,28,283.92075471698115
RCS,2016,29,479.0327380952381
RCS,2016,30,471.5342261904762
RCS,2016,31,134.5077380952381
RCS,2016,32,101.8452380952381
RCS,2016,33,76.33348214285714
RCS,2016,34,83.4360119047619
RCS,2016,35,77.87767857142858
RCS,2016,36,87.02380952380952
RCS,2016,37,73.84553571428572
RCS,2016,38,43.135416666666664
RCS,2017,28,30.182291666666668
RCS,2017,29,25.30910447761194
RCS,2017,30,27.35145038167939
RCS,2017,31,32.83065476190476
RCS,2017,32,36.213095238095235
RCS,2017,33,28.88479880774963
RCS,2017,34,43.73308383233533
RCS,2017,35,57.591517857142854
RCS,2017,36,46.702083333333334
RCS,2017,37,26.880357142857143
RCS,2017,38,20.44002976190476
RCS,2017,39,15.7730421686747
RCS,2017,40,11.824572317262831
RCS,2017,41,7.511904761904762
RCS,2017,43,28.637874659400545
RCS,2017,44,57.171875
RCS,2018,28,98.19097222222223
RCS,2018,29,107.19196428571429
RCS,2018,30,96.19642857142857
RCS,2018,31,104.2026825633383
RCS,2018,32,102.91428571428571
RCS,2018,33,83.99553571428571
RCS,2018,34,88.09375
RCS,2018,35,469.29910714285717
RCS,2018,36,540.3303571428571
RCS,2018,37,507.7738095238095
RCS,2018,38,370.45238095238096
RCS,2018,39,63.99073243647235
RCS,2018,40,20.463880597014924
RCS,2018,41,7.5456586826347305
RCS,2018,42,5.166028708133971
RCS,2018,43,15.589820359281438
RCS,2018,44,27.03955223880597
RCS,2018,45,16.196865671641792
RCS,2019,28,21.084342379958247
RCS,2019,29,23.66906906906907
RCS,2019,30,20.70134529147982
RCS,2019,31,26.211011904761904
RCS,2019,32,37.76800595238095
RCS,2019,33,24.992708333333333
RCS,2019,34,63.95342261904762
RCS,2019,35,617.2425595238095
RCS,2019,36,712.7857142857143
RCS,2019,37,627.5238805970149
RCS,2019,38,290.8880952380952
RCS,2019,39,47.23204172876304
RCS,2019,40,30.805059523809526
RCS,2019,41,12.105979073243647
RCS,2019,42,3.0944108761329305
RCS,2019,43,28.1314332247557
RCS,2019,44,25.78416
RCS,2019,45,34.563541666666666
RD22,2014,39,45.4
RD22,2014,40,49.863392857142856
RD22,2014,41,52.99270833333333
RD22,2014,42,57.13035714285714
RD22,2014,43,54.60669642857143
RD22,2014,44,56.71934523809524
RD22,2014,45,52.83619791666667
RD22,2015,27,23.865277777777777
RD22,2015,28,21.205208333333335
RD22,2015,29,15.48482142857143
RD22,2015,30,12.258482142857142
RD22,2015,31,11.95029761904762
RD22,2015,32,68.57470149253732
RD22,2015,33,67.28214285714286
RD22,2015,34,345.8074404761905
RD22,2015,35,308.5833333333333
RD22,2015,36,505.0208333333333
RD22,2015,37,508.73660714285717
RD22,2015,38,274.9270833333333
RD22,2015,39,85.5702380952381
RD22,2015,40,33.483333333333334
RD22,2015,41,18.048958333333335
RD22,2015,42,7.170699404761905
RD22,2015,43,4.880401785714286
RD22,2015,44,6.011755952380953
RD22,2015,45,6.472410714285714
RD22,2015,46,10.572458333333334
RD22,2016,22,53.952083333333334
RD22,2016,23,48.89613095238095
RD22,2016,24,78.7921130952381
RD22,2016,25,70.23556547619047
RD22,2016,26,57.959672619047616
RD22,2016,27,31.643219076005963
RD22,2016,28,77.3626488095238
RD22,2016,29,384.8482142857143
RD22,2016,30,559.3556547619048
RD22,2016,31,131.1558867362146
RD22,2016,32,41.63184523809524
RD22,2016,33,45.6389880952381
RD22,2016,34,39.702083333333334
RD22,2016,35,36.18532934131736
RD22,2016,36,36.84508928571429
RD22,2016,37,41.15535714285714
RD22,2016,38,46.28541666666667
RD22,2017,28,26.9171875
RD22,2017,29,26.430803571428573
RD22,2017,30,24.913392857142856
RD22,2017,31,24.65580357142857
RD22,2017,32,22.213244047619046
RD22,2017,33,18.089136904761904
RD22,2017,34,17.133035714285715
RD22,2017,35,17.65877976190476
RD22,2017,36,15.940909090909091
RD22,2017,37,15.62520325203252
RD22,2017,38,14.052653927813163
RD22,2017,39,12.01483630952381
RD22,2017,40,7.796279761904762
RD22,2017,41,5.045446428571428
RD22,2017,42,9.991071428571429
RD22,2017,43,7.165669642857143
RD22,2017,44,10.272326388888889
RD22,2018,28,20.725783972125434
RD22,2018,29,37.355820895522385
RD22,2018,30,44.41289355322339
RD22,2018,31,30.964583333333334
RD22,2018,32,48.24626865671642
RD22,2018,33,52.48809523809524
RD22,2018,34,39.325
RD22,2018,35,354.7702380952381
RD22,2018,36,475.39285714285717
RD22,2018,37,521.9732142857143
RD22,2018,38,369.04315476190476
RD22,2018,39,70.21473214285714
RD22,2018,40,21.39032738095238
RD22,2018,41,13.735074404761905
RD22,2018,42,10.702842261904761
RD22,2018,43,6.229985119047619
RD22,2018,44,5.562931547619048
RD22,2018,45,6.309402092675636
RD22,2019,28,21.707083333333333
RD22,2019,29,28.67217261904762
RD22,2019,30,18.739583333333332
RD22,2019,31,17.669791666666665
RD22,2019,32,18.648802395209582
RD22,2019,33,17.350695517774344
RD22,2019,34,27.13139880952381
RD22,2019,35,530.6369047619048
RD22,2019,36,690.4657738095239
RD22,2019,37,682.1354166666666
RD22,2019,38,331.81830357142854
RD22,2019,39,51.544940476190476
RD22,2019,40,33.852380952380955
RD22,2019,41,21.268005952380953
RD22,2019,42,11.069494047619047
RD22,2019,43,9.518497023809523
RD22,2019,44,10.509300595238095
RD22,2019,45,10.186197916666666
RVB,2013,27,9658.541666666666
RVB,2013,28,9513.75
RVB,2013,29,8844.761904761905
RVB,2013,30,10020.892857142857
RVB,2013,31,10029.285714285714
RVB,2013,32,9508.869047619048
RVB,2013,33,8940.77380952381
RVB,2013,34,10768.452380952382
RVB,2013,35,10067.440476190477
RVB,2013,36,8590.952380952382
RVB,2013,37,8353.57142857143
RVB,2013,38,6532.738095238095
RVB,2013,39,6780.535714285715
RVB,2013,40,4661.309523809524
RVB,2013,41,5141.547619047619
RVB,2013,42,3661.0714285714284
RVB,2013,43,6476.607142857143
RVB,2013,44,5751.964285714285
RVB,2013,45,6107.5
RVB,2013,46,5080.138888888889
RVB,2014,30,4484.5
RVB,2014,31,4640.357142857143
RVB,2014,32,4668.988095238095
RVB,2014,33,4137.202380952381
RVB,2014,34,4866.666666666667
RVB,2014,35,4972.142857142857
RVB,2014,36,4797.261904761905
RVB,2014,37,4923.690476190476
RVB,2014,38,4973.928571428572
RVB,2014,39,4623.571428571428
RVB,2014,40,3957.6785714285716
RVB,2014,41,4157.083333333333
RVB,2014,42,4620.297619047619
RVB,2014,43,4858.035714285715
RVB,2014,44,6278.333333333333
RVB,2014,45,5066.041666666667
RVB,2015,27,5420.555555555556
RVB,2015,28,3573.095238095238
RVB,2015,29,5170.535714285715
RVB,2015,30,4036.964285714286
RVB,2015,31,4360.5952380952385
RVB,2015,32,4138.630952380952
RVB,2015,33,3859.345238095238
RVB,2015,34,4606.785714285715
RVB,2015,35,4792.321428571428
RVB,2015,36,3714.1666666666665
RVB,2015,37,3966.0119047619046
RVB,2015,38,3306.5714285714284
RVB,2015,39,3772.3214285714284
RVB,2015,40,4040.1190476190477
RVB,2015,41,4237.380952380952
RVB,2015,42,3810.8928571428573
RVB,2015,43,3918.2738095238096
RVB,2015,44,5023.690476190476
RVB,2015,45,4423.630952380952
RVB,2015,46,4090.4
RVB,2016,22,5722.166666666667
RVB,2016,23,6888.511904761905
RVB,2016,24,7661.130952380952
RVB,2016,25,6827.023809523809
RVB,2016,26,7093.1547619047615
RVB,2016,27,8185.535714285715
RVB,2016,28,9383.869047619048
RVB,2016,29,7134.583333333333
RVB,2016,31,9830.5
RVB,2016,32,10622.32142857143
RVB,2016,33,9594.761904761905
RVB,2016,34,8541.904761904761
RVB,2016,35,9372.083333333334
RVB,2016,36,9418.630952380952
RVB,2016,37,9573.392857142857
RVB,2016,38,7805
RVB,2017,28,8955.833333333334
RVB,2017,29,7456.785714285715
RVB,2017,30,9677.380952380952
RVB,2017,31,10311.607142857143
RVB,2017,32,11385.119047619048
RVB,2017,33,10764.285714285714
RVB,2017,34,12610.714285714286
RVB,2017,35,12001.190476190477
RVB,2017,36,11901.785714285714
RVB,2017,37,12614.285714285714
RVB,2017,38,14401.785714285714
RVB,2017,39,14052.380952380952
RVB,2017,40,12020.357142857143
RVB,2017,41,9389.583333333334
RVB,2017,42,7669.821428571428
RVB,2017,43,7687.619047619048
RVB,2017,44,7095.208333333333
RVB,2018,28,8310.833333333334
RVB,2018,29,8723.57142857143
RVB,2018,30,8982.916666666666
RVB,2018,31,9886.607142857143
RVB,2018,32,9560.535714285714
RVB,2018,33,9375.892857142857
RVB,2018,34,9487.916666666666
RVB,2018,35,9533.392857142857
RVB,2018,36,9722.32142857143
RVB,2018,37,9590.416666666666
RVB,2018,38,8596.369047619048
RVB,2018,39,7799.464285714285
RVB,2018,40,7742.202380952381
RVB,2018,41,4849.702380952381
RVB,2018,42,5101.309523809524
RVB,2018,43,4965.5952380952385
RVB,2018,44,4059.285714285714
RVB,2018,45,2975.4523809523807
RVB,2019,28,7868.75
RVB,2019,29,8403.988095238095
RVB,2019,30,7783.035714285715
RVB,2019,31,9039.52380952381
RVB,2019,32,8508.57142857143
RVB,2019,33,10059.081632653062
RVB,2019,34,10128.92857142857
RVB,2019,35,10210.119047619048
RVB,2019,36,10977.797619047618
RVB,2019,37,10245.833333333334
RVB,2019,38,10742.797619047618
RVB,2019,39,8912.857142857143
RVB,2019,40,9099.642857142857
RVB,2019,41,6703.928571428572
RVB,2019,42,5704.444444444444
RVB,2019,43,4467.7464788732395
RVB,2019,44,5053.690476190476
RVB,2019,45,4431.041666666667
