Date,LIS_DailyAvgInstFlow,LIS_DailyAvgNetFlow,SR_DailyAvgNetFlow
2013-08-11,-59.3,-54.1,NA
2013-08-12,-46.9,-45.4,NA
2013-08-13,-44.4,-45,NA
2013-08-14,-44,-47.6,NA
2013-08-15,-35.6,-47.2,NA
2013-08-16,-14.4,-33,NA
2013-08-17,-16.4,-26,NA
2013-08-18,-15.1,-16.4,NA
2013-08-19,-16.9,-14.4,NA
2013-08-20,-18.6,-11.3,NA
2013-08-21,0.266,7.75,NA
2013-08-22,10.4,21.8,NA
2013-08-23,23.9,31.2,NA
2013-08-24,35.7,45.4,NA
2013-08-25,55.4,53.4,NA
2013-08-26,34.3,35.5,NA
2013-08-27,7.6,25.1,NA
2013-08-28,81.3,66.8,NA
2013-08-29,130,110,NA
2013-08-30,135,126,NA
2013-08-31,140,132,NA
2013-09-01,127,126,NA
2013-09-02,119,118,NA
2013-09-03,107,114,NA
2013-09-04,110,111,NA
2013-09-05,100,105,NA
2013-09-06,116,120,NA
2013-09-07,139,139,NA
2013-09-08,143,148,NA
2013-09-09,140,157,NA
2013-09-10,152,177,NA
2013-09-11,209,201,NA
2013-09-12,212,212,NA
2013-09-13,263,240,NA
2013-09-14,285,248,NA
2013-09-15,205,205,NA
2013-09-16,184,186,NA
2013-09-17,163,170,NA
2013-09-18,143,145,NA
2013-09-19,119,120,NA
2013-09-20,96.4,111,NA
2013-09-21,126,125,NA
2013-09-22,126,NA,NA
2013-09-23,NA,NA,NA
2013-09-24,NA,NA,NA
2013-09-25,278,NA,NA
2013-09-26,283,274,NA
2013-09-27,253,252,NA
2013-09-28,218,211,NA
2013-09-29,157,157,NA
2013-09-30,106,102,NA
2013-10-01,36.8,42.7,NA
2013-10-02,0.173,4.84,NA
2013-10-03,-1.51,-4.39,NA
2013-10-04,-25.4,-21.1,NA
2013-10-05,-44.2,-39.4,NA
2013-10-06,-45.3,-43.1,NA
2013-10-07,-50.6,-45,NA
2013-10-08,-54.4,-50.8,NA
2013-10-09,-69.6,-59.1,NA
2013-10-10,-39.2,-36.2,NA
2013-10-11,10.9,0.749,NA
2013-10-12,34.4,19.9,NA
2013-10-13,21.7,9.46,NA
2013-10-14,-21.9,-16.8,NA
2013-10-15,-30.8,-31.7,NA
2013-10-16,-38,-37.5,NA
2013-10-17,-54.4,-48.6,NA
2013-10-18,-52.3,-53.4,NA
2013-10-19,-63.3,-58.6,NA
2013-10-20,-60.5,-57.4,NA
2013-10-21,-50,-51.2,NA
2013-10-22,-59.1,-54.5,NA
2013-10-23,-59.3,-50.8,NA
2013-10-24,-50.1,-45,NA
2013-10-25,-21.8,-31.4,NA
2013-10-26,-21.4,-30.1,NA
2013-10-27,-56.2,-51.3,NA
2013-10-28,-20.5,-35.4,NA
2013-10-29,-15.2,-19.2,NA
2013-10-30,-37,-30.2,NA
2013-10-31,-23.5,-27,NA
2013-11-01,-36,-34.6,NA
2013-11-02,-56.2,-46.7,NA
2013-11-03,-38.4,-41.6,NA
2013-11-04,-46.4,-44.7,NA
2013-11-05,-58.8,-53.1,NA
2013-11-06,-51.2,-51.8,NA
2013-11-07,-56,-51.7,NA
2013-11-08,-44.6,-46.6,NA
2013-11-09,-34.2,-38,NA
2013-11-10,-23.9,-32.4,NA
2013-11-11,-27.2,-30.6,NA
2013-11-12,-31.1,-31,NA
2013-11-13,-37.6,-37.2,NA
2013-11-14,-43,-43.5,NA
2013-11-15,-55.6,-50,NA
2013-11-16,-48.6,-46.4,NA
2013-11-17,-36.5,-37.8,NA
2013-11-18,-41,-34,NA
2013-11-19,-14.8,-17.7,NA
2013-11-20,NA,3.48,NA
2013-11-21,49.1,31.2,NA
2013-11-22,12.6,16.9,NA
2013-11-23,8.64,5.2,NA
2013-11-24,-1.57,-0.64,NA
2013-11-25,-6.26,-6.23,NA
2013-11-26,-9.74,-10.9,NA
2013-11-27,-17.1,-18,NA
2013-11-28,-18.4,-14.6,NA
2013-11-29,2.84,-0.275,NA
2013-11-30,2.46,4.18,NA
2013-12-01,8.37,10.7,NA
2013-12-02,35,30.4,NA
2013-12-03,29.4,42.5,NA
2013-12-04,56.9,53.7,NA
2013-12-05,63.6,63.1,NA
2013-12-06,75.6,74.8,NA
2013-12-07,78.3,77,NA
2013-12-08,83.1,76.4,NA
2013-12-09,68.9,67.8,NA
2013-12-10,50.6,49.2,NA
2013-12-11,29,32.4,NA
2013-12-12,32.6,30.4,NA
2013-12-13,21.8,24.5,NA
2013-12-14,28.7,29.3,NA
2013-12-15,35.2,36.4,NA
2013-12-16,45.7,50.8,NA
2013-12-17,85.7,81.7,NA
2013-12-18,91.6,96,NA
2013-12-19,113,102,NA
2013-12-20,75.2,84.4,NA
2013-12-21,83.4,81.9,NA
2013-12-22,90.1,83.9,NA
2013-12-23,72.8,72.8,NA
2013-12-24,57.5,59,NA
2013-12-25,57.2,56.5,NA
2013-12-26,55.8,55.6,NA
2013-12-27,54.9,55,NA
2013-12-28,55.2,56,NA
2013-12-29,65.7,65.1,NA
2013-12-30,67.6,70.8,NA
2013-12-31,75.7,79.8,NA
2014-01-01,90.9,91.9,NA
2014-01-02,81.3,85.5,NA
2014-01-03,82.5,83.6,NA
2014-01-04,96.1,93.5,NA
2014-01-05,102,95.3,NA
2014-01-06,88.3,84.5,NA
2014-01-07,78.8,78.8,NA
2014-01-08,85.5,82.6,NA
2014-01-09,83,87.4,NA
2014-01-10,98.7,97.9,NA
2014-01-11,109,109,NA
2014-01-12,121,116,NA
2014-01-13,96.9,101,NA
2014-01-14,86.9,88.2,NA
2014-01-15,75.5,79.8,NA
2014-01-16,83.7,86,NA
2014-01-17,101,100,NA
2014-01-18,105,104,NA
2014-01-19,104,103,NA
2014-01-20,106,103,NA
2014-01-21,104,106,NA
2014-01-22,119,117,NA
2014-01-23,124,123,NA
2014-01-24,133,134,NA
2014-01-25,147,144,NA
2014-01-26,145,143,NA
2014-01-27,110,122,NA
2014-01-28,139,134,NA
2014-01-29,166,164,NA
2014-01-30,176,176,NA
2014-01-31,183,181,NA
2014-02-01,170,170,NA
2014-02-02,150,150,NA
2014-02-03,128,130,NA
2014-02-04,123,127,NA
2014-02-05,152,155,NA
2014-02-06,212,213,NA
2014-02-07,324,306,NA
2014-02-08,364,394,NA
2014-02-09,523,498,NA
2014-02-10,515,508,NA
2014-02-11,446,459,NA
2014-02-12,466,468,NA
2014-02-13,510,504,NA
2014-02-14,501,490,NA
2014-02-15,413,414,NA
2014-02-16,323,331,NA
2014-02-17,290,293,NA
2014-02-18,288,284,NA
2014-02-19,265,264,NA
2014-02-20,228,229,NA
2014-02-21,200,203,NA
2014-02-22,195,195,NA
2014-02-23,197,195,NA
2014-02-24,190,190,NA
2014-02-25,177,178,NA
2014-02-26,168,173,NA
2014-02-27,187,192,NA
2014-02-28,254,251,NA
2014-03-01,314,316,NA
2014-03-02,374,367,NA
2014-03-03,388,381,NA
2014-03-04,365,378,NA
2014-03-05,415,412,NA
2014-03-06,462,482,NA
2014-03-07,617,581,NA
2014-03-08,551,549,NA
2014-03-09,456,457,NA
2014-03-10,366,377,NA
2014-03-11,343,334,NA
2014-03-12,276,296,NA
2014-03-13,352,349,NA
2014-03-14,406,390,NA
2014-03-15,324,329,NA
2014-03-16,270,268,NA
2014-03-17,218,225,NA
2014-03-18,199,199,NA
2014-03-19,183,185,NA
2014-03-20,185,183,NA
2014-03-21,174,173,NA
2014-03-22,158,161,NA
2014-03-23,157,159,NA
2014-03-24,170,166,NA
2014-03-25,165,168,NA
2014-03-26,173,172,NA
2014-03-27,171,169,NA
2014-03-28,154,156,NA
2014-03-29,176,183,NA
2014-03-30,236,231,NA
2014-03-31,255,256,NA
2014-04-01,312,312,NA
2014-04-02,364,354,NA
2014-04-03,317,311,NA
2014-04-04,222,235,NA
2014-04-05,202,205,NA
2014-04-06,202,201,NA
2014-04-07,194,192,NA
2014-04-08,182,189,NA
2014-04-09,212,202,NA
2014-04-10,185,191,NA
2014-04-11,195,187,NA
2014-04-12,177,180,NA
2014-04-13,186,180,NA
2014-04-14,157,161,NA
2014-04-15,152,151,NA
2014-04-16,153,155,NA
2014-04-17,156,153,NA
2014-04-18,137,141,NA
2014-04-19,149,149,NA
2014-04-20,154,154,NA
2014-04-21,134,132,NA
2014-04-22,122,125,NA
2014-04-23,136,135,NA
2014-04-24,130,126,NA
2014-04-25,104,100,NA
2014-04-26,77.1,79,NA
2014-04-27,70.6,75,NA
2014-04-28,85.4,86.7,NA
2014-04-29,104,103,NA
2014-04-30,113,110,NA
2014-05-01,104,102,NA
2014-05-02,56.7,64.5,NA
2014-05-03,24.1,37,NA
2014-05-04,50.9,44.7,NA
2014-05-05,45.6,39.8,NA
2014-05-06,20.4,16.5,NA
2014-05-07,0.902,-3.44,NA
2014-05-08,-26.6,-19,NA
2014-05-09,-7.24,-16.6,NA
2014-05-10,-28.4,-20.2,NA
2014-05-11,-9.17,-15.4,NA
2014-05-12,-27.8,NA,NA
2014-05-13,NA,NA,NA
2014-05-14,NA,NA,NA
2014-05-15,-26.4,NA,NA
2014-05-16,-45.9,-37.8,NA
2014-05-17,-42.2,-34.8,NA
2014-05-18,-28.2,-23.9,NA
2014-05-19,-26.1,-24.2,NA
2014-05-20,-18.7,-27.5,NA
2014-05-21,-31.6,-36.2,NA
2014-05-22,-32.2,-36.7,NA
2014-05-23,-24.9,-34.8,NA
2014-05-24,-46.5,-45.6,NA
2014-05-25,-53.5,-60.6,NA
2014-05-26,-95.1,-84.8,NA
2014-05-27,-85.3,-82.2,NA
2014-05-28,-78.3,-78.5,NA
2014-05-29,-107,-96.9,NA
2014-05-30,-112,-106,NA
2014-05-31,-91.4,-89.6,NA
2014-06-01,-74.1,-77.9,NA
2014-06-02,-102,-85.4,NA
2014-06-03,-43.8,-59.2,NA
2014-06-04,-50.5,-55.2,NA
2014-06-05,-67.9,-67.3,NA
2014-06-06,-61.1,-68.5,NA
2014-06-07,-62.2,-67.1,NA
2014-06-08,-71.4,-74.4,NA
2014-06-09,-89.4,-98.1,NA
2014-06-10,-139,-136,NA
2014-06-11,-111,-109,NA
2014-06-12,-51.8,-49.9,NA
2014-06-13,-42.3,-36.1,NA
2014-06-14,-51.2,-46,NA
2014-06-15,-67.3,-60.1,NA
2014-06-16,-72,-62.3,NA
2014-06-17,-54.5,-52.1,NA
2014-06-18,-50,-49.2,NA
2014-06-19,-26.2,-43.4,NA
2014-06-20,-52.3,-54.3,NA
2014-06-21,-63.5,-67.9,NA
2014-06-22,-61.8,-72,NA
2014-06-23,-78.9,-78,NA
2014-06-24,-74.1,-73.2,NA
2014-06-25,-75.1,-68.5,NA
2014-06-26,-47.2,-49.6,NA
2014-06-27,-59.4,-52.1,NA
2014-06-28,-60.2,-55.6,NA
2014-06-29,-54.7,-52.3,NA
2014-06-30,-77.9,-72.2,NA
2014-07-01,-105,-88,NA
2014-07-02,-54.3,-60.1,NA
2014-07-03,-54,-56.1,NA
2014-07-04,-63.2,-65.7,NA
2014-07-05,-60.5,-68.5,NA
2014-07-06,-66.1,-73.4,NA
2014-07-07,-66.4,-76.1,NA
2014-07-08,-83.6,-86.7,NA
2014-07-09,-79.2,-86.5,NA
2014-07-10,-69.3,-77,NA
2014-07-11,-73.2,-67.5,NA
2014-07-12,-75.3,-65.6,NA
2014-07-13,-71.1,-66.4,NA
2014-07-14,-95.6,-80.8,NA
2014-07-15,-112,-96.2,NA
2014-07-16,-107,-96.6,NA
2014-07-17,-82.8,-88.1,NA
2014-07-18,-65.4,-75.9,NA
2014-07-19,-68.1,-77.2,NA
2014-07-20,-77.6,-87.4,NA
2014-07-21,-83.7,-92.1,NA
2014-07-22,-96.8,-95.9,NA
2014-07-23,-71.5,-82.9,NA
2014-07-24,-94.5,-90,NA
2014-07-25,-108,-103,NA
2014-07-26,-108,-102,NA
2014-07-27,-101,-96.1,NA
2014-07-28,-95.4,-85.9,NA
2014-07-29,-71.8,-70.4,NA
2014-07-30,-74.3,-69,NA
2014-07-31,-80.7,-75.1,NA
2014-08-01,-92.9,-88.8,NA
2014-08-02,-99.6,-97,NA
2014-08-03,-75.1,-83,NA
2014-08-04,-65,-74.6,NA
2014-08-05,-69.1,-78.9,NA
2014-08-06,-84.2,-93.9,NA
2014-08-07,-98.6,-102,NA
2014-08-08,-82.8,-91.5,NA
2014-08-09,-95.6,-82.3,NA
2014-08-10,-51.2,-51.1,NA
2014-08-11,-53.3,-46.4,NA
2014-08-12,-72.4,-60,NA
2014-08-13,-60.5,-54.2,NA
2014-08-14,-67.8,-58.6,NA
2014-08-15,-75.9,-72.7,NA
2014-08-16,-79.7,-81.8,NA
2014-08-17,-79.7,-88.7,NA
2014-08-18,-84.2,-90.2,NA
2014-08-19,-60.6,-73.1,NA
2014-08-20,-43.4,-51.2,NA
2014-08-21,-35.8,-47.4,NA
2014-08-22,-73.6,-58.5,NA
2014-08-23,-37.4,-46.2,NA
2014-08-24,-63.1,-54.5,NA
2014-08-25,-55,-47.3,NA
2014-08-26,-34.5,-31.2,NA
2014-08-27,-21.7,-24.6,NA
2014-08-28,-46.5,-37.2,NA
2014-08-29,-51.8,-44.6,NA
2014-08-30,-44,-42,NA
2014-08-31,-43.2,-42.8,NA
2014-09-01,-51,-45.4,NA
2014-09-02,-48.6,-39.9,NA
2014-09-03,-4.12,-30.8,NA
2014-09-04,-12.9,-27.1,NA
2014-09-05,5.2,-6.79,NA
2014-09-06,-1.18,3.81,NA
2014-09-07,12.6,12.6,NA
2014-09-08,-5.9,6.28,NA
2014-09-09,8.41,10.8,NA
2014-09-10,2.65,10.7,NA
2014-09-11,7.33,19.7,NA
2014-09-12,65.8,71.1,NA
2014-09-13,112,118,NA
2014-09-14,124,122,NA
2014-09-15,109,119,NA
2014-09-16,176,160,NA
2014-09-17,239,210,NA
2014-09-18,205,190,NA
2014-09-19,92.9,96.2,NA
2014-09-20,18.1,33.3,NA
2014-09-21,54,47,NA
2014-09-22,46.2,44.3,NA
2014-09-23,1.4,9.34,NA
2014-09-24,-19.1,-13.2,NA
2014-09-25,-28.3,-23.6,NA
2014-09-26,-29.4,-25.6,NA
2014-09-27,-32.9,-27.6,NA
2014-09-28,-15.2,-15.4,NA
2014-09-29,-22.6,-16.8,NA
2014-09-30,-38,-30.7,NA
2014-10-01,-15.1,-25.8,NA
2014-10-02,-17.1,-32,NA
2014-10-03,-25.8,-38.5,NA
2014-10-04,-40.9,-44.7,NA
2014-10-05,-51.6,-47.3,NA
2014-10-06,-47.3,-42.7,NA
2014-10-07,-49.7,-50.2,NA
2014-10-08,-76.5,-68.2,NA
2014-10-09,-89.1,-77.9,NA
2014-10-10,-88.6,-82.8,NA
2014-10-11,-92,-81,NA
2014-10-12,-68.8,-72.4,NA
2014-10-13,-104,-90.7,NA
2014-10-14,-113,-91.1,NA
2014-10-15,-17.1,-54.6,NA
2014-10-16,-26.7,-47.4,NA
2014-10-17,-44,-54.7,NA
2014-10-18,-51.9,-56,NA
2014-10-19,-61.9,-60.3,NA
2014-10-20,-71,-57.8,NA
2014-10-21,-24,-28.4,NA
2014-10-22,-25.4,-25.2,NA
2014-10-23,-53.1,-48.7,NA
2014-10-24,-80,-75.3,NA
2014-10-25,-110,-90.4,NA
2014-10-26,-46.7,-58.6,NA
2014-10-27,-59.4,-53.4,NA
2014-10-28,-57.3,-51.9,NA
2014-10-29,-35.7,-39,NA
2014-10-30,-58.8,-48.3,NA
2014-10-31,-30.6,-54.4,NA
2014-11-01,-21,-35.4,NA
2014-11-02,-9.6,-13.2,NA
2014-11-03,-30.8,-22,NA
2014-11-04,-22.3,-18.7,NA
2014-11-05,-3.58,NA,NA
2014-11-06,NA,NA,NA
2014-11-07,NA,NA,NA
2014-11-08,-30.4,NA,NA
2014-11-09,-44.9,-36.6,NA
2014-11-10,-47,-35.6,NA
2014-11-11,-11.5,-13.9,NA
2014-11-12,21.5,10.2,NA
2014-11-13,28.9,20.1,NA
2014-11-14,17.3,14.5,NA
2014-11-15,9.33,1.42,NA
2014-11-16,-15.1,-13.9,NA
2014-11-17,-33.4,-37.3,NA
2014-11-18,-69,-66.4,NA
2014-11-19,-93.9,-85.9,NA
2014-11-20,-82.3,-81.4,NA
2014-11-21,-72.7,-75.2,NA
2014-11-22,-87.8,-69.4,NA
2014-11-23,-21,-31.3,NA
2014-11-24,-15.6,NA,NA
2014-11-25,NA,NA,NA
2014-11-26,NA,NA,NA
2014-11-27,-37.7,NA,NA
2014-11-28,-54.4,-47.2,NA
2014-11-29,-13.3,-34.2,NA
2014-11-30,-5.1,-11.2,NA
2014-12-01,10.2,18.9,NA
2014-12-02,90.6,99.4,NA
2014-12-03,313,313,NA
2014-12-04,524,483,NA
2014-12-05,397,423,NA
2014-12-06,469,484,NA
2014-12-07,597,557,NA
2014-12-08,424,NA,NA
2014-12-09,NA,NA,NA
2014-12-10,445,NA,NA
2014-12-11,530,642,NA
2014-12-12,1300,1290,NA
2014-12-13,1950,1850,NA
2014-12-14,2070,2090,NA
2014-12-15,2340,2320,NA
2014-12-16,2540,NA,NA
2014-12-17,NA,NA,NA
2014-12-18,NA,NA,NA
2014-12-19,NA,NA,NA
2014-12-20,NA,NA,NA
2014-12-21,NA,NA,NA
2014-12-22,NA,NA,NA
2014-12-23,NA,NA,NA
2014-12-24,NA,NA,NA
2014-12-25,NA,NA,NA
2014-12-26,NA,NA,NA
2014-12-27,NA,NA,NA
2014-12-28,NA,NA,NA
2014-12-29,NA,NA,NA
2014-12-30,NA,NA,NA
2014-12-31,2380,NA,NA
2015-01-01,2020,1980,NA
2015-01-02,1520,1550,NA
2015-01-03,1140,1150,NA
2015-01-04,813,832,NA
2015-01-05,639,652,NA
2015-01-06,525,527,NA
2015-01-07,425,428,NA
2015-01-08,379,383,NA
2015-01-09,347,345,NA
2015-01-10,320,327,NA
2015-01-11,333,329,NA
2015-01-12,316,314,NA
2015-01-13,292,299,NA
2015-01-14,307,300,NA
2015-01-15,288,288,NA
2015-01-16,279,277,NA
2015-01-17,271,270,NA
2015-01-18,263,267,NA
2015-01-19,262,262,NA
2015-01-20,257,263,NA
2015-01-21,286,282,NA
2015-01-22,287,289,NA
2015-01-23,311,309,NA
2015-01-24,332,330,NA
2015-01-25,347,344,NA
2015-01-26,336,345,NA
2015-01-27,390,390,NA
2015-01-28,489,485,NA
2015-01-29,525,506,NA
2015-01-30,404,400,NA
2015-01-31,281,296,NA
2015-02-01,258,266,NA
2015-02-02,270,268,NA
2015-02-03,266,274,NA
2015-02-04,320,314,NA
2015-02-05,338,335,NA
2015-02-06,352,408,NA
2015-02-07,673,680,NA
2015-02-08,1110,1130,NA
2015-02-09,1780,1710,NA
2015-02-10,2140,2150,NA
2015-02-11,2540,2540,NA
2015-02-12,2860,2830,NA
2015-02-13,2930,2900,NA
2015-02-14,2760,2730,NA
2015-02-15,2370,2350,NA
2015-02-16,1820,1830,NA
2015-02-17,1290,1310,NA
2015-02-18,888,921,NA
2015-02-19,726,733,NA
2015-02-20,625,626,NA
2015-02-21,505,522,NA
2015-02-22,488,481,NA
2015-02-23,443,442,NA
2015-02-24,398,404,NA
2015-02-25,396,383,NA
2015-02-26,306,322,NA
2015-02-27,331,337,NA
2015-02-28,411,400,NA
2015-03-01,397,392,NA
2015-03-02,337,344,NA
2015-03-03,314,316,NA
2015-03-04,306,308,NA
2015-03-05,307,308,NA
2015-03-06,309,308,NA
2015-03-07,312,310,NA
2015-03-08,308,307,NA
2015-03-09,302,304,NA
2015-03-10,317,314,NA
2015-03-11,317,320,NA
2015-03-12,319,313,NA
2015-03-13,293,297,NA
2015-03-14,294,287,NA
2015-03-15,275,280,NA
2015-03-16,280,280,NA
2015-03-17,273,277,NA
2015-03-18,294,281,NA
2015-03-19,222,231,NA
2015-03-20,200,211,NA
2015-03-21,254,242,NA
2015-03-22,231,228,NA
2015-03-23,206,218,NA
2015-03-24,275,278,NA
2015-03-25,345,337,NA
2015-03-26,336,330,NA
2015-03-27,289,295,NA
2015-03-28,274,276,NA
2015-03-29,283,278,NA
2015-03-30,272,269,NA
2015-03-31,243,240,NA
2015-04-01,188,195,NA
2015-04-02,165,163,NA
2015-04-03,130,132,NA
2015-04-04,109,114,NA
2015-04-05,126,119,NA
2015-04-06,110,120,NA
2015-04-07,168,166,NA
2015-04-08,208,195,NA
2015-04-09,150,156,NA
2015-04-10,124,128,NA
2015-04-11,123,123,NA
2015-04-12,121,119,NA
2015-04-13,110,114,NA
2015-04-14,123,123,NA
2015-04-15,125,116,NA
