"","Year","ActionPhase","Region","Group","N","BV.um3.per.L","sd","se","ci"
"41",2014,"After","Downstream","Ciliates",4,0,0,0,0
"42",2014,"After","Downstream","Cryptophytes",4,32653982.6,65307965.2,32653982.6,103919546.278168
"43",2014,"After","Downstream","Cyanobacteria",4,105817916.525,83985542.1746223,41992771.0873111,133639739.195438
"44",2014,"After","Downstream","Diatoms",4,317758449.25,421347838.041111,210673919.020555,670458435.206605
"45",2014,"After","Downstream","Dinoflagellates",4,0,0,0,0
"46",2014,"After","Downstream","Golden Algae",4,0,0,0,0
"47",2014,"After","Downstream","Green Algae",4,36067392.9,41336454.856242,20668227.428121,65775524.0153871
"48",2014,"After","Downstream","Other",4,0,0,0,0
"49",2015,"Before","Upstream","Ciliates",19,0,0,0,0
"50",2015,"Before","Upstream","Cryptophytes",19,58647247.3473684,109142578.545482,25039024.7535372,52605038.9708471
"51",2015,"Before","Upstream","Cyanobacteria",19,517643782.505263,552134316.233461,126668299.35382,266120221.912291
"52",2015,"Before","Upstream","Diatoms",19,1146435400.79474,2094903352.31489,480603789.95922,1009711094.9487
"53",2015,"Before","Upstream","Dinoflagellates",19,367441735.373684,1156885702.09858,265407782.351306,557601059.593356
"54",2015,"Before","Upstream","Golden Algae",19,2107096.36842105,9184620.13424891,2107096.36842105,4426845.20132764
"55",2015,"Before","Upstream","Green Algae",19,185675503.073684,253835064.373691,58233757.5753716,122344584.776152
"56",2015,"Before","Upstream","Other",19,184177920.126316,423635018.987824,97188538.7743611,204185543.169876
"57",2015,"Before","Downstream","Ciliates",12,0,0,0,0
"58",2015,"Before","Downstream","Cryptophytes",12,19837275.6083333,45998396.7374571,13278593.369331,29225986.9527888
"59",2015,"Before","Downstream","Cyanobacteria",12,956465867.716667,1433901151.89993,413931608.02037,911057326.545704
"60",2015,"Before","Downstream","Diatoms",12,246578245.408333,194227624.126755,56068685.5368217,123406344.812389
"61",2015,"Before","Downstream","Dinoflagellates",12,0,0,0,0
"62",2015,"Before","Downstream","Golden Algae",12,510465.8,1768305.40225259,510465.8,1123527.65053431
"63",2015,"Before","Downstream","Green Algae",12,62613665.3916667,78096539.0028358,22544528.9080327,49620173.5678369
"64",2015,"Before","Downstream","Other",12,1033332.3,3579568.08940401,1033332.3,2274349.05774336
"65",2015,"During","Upstream","Ciliates",30,0,0,0,0
"66",2015,"During","Upstream","Cryptophytes",30,107585306.81,248153037.419129,45306338.7692936,92661867.0274653
"67",2015,"During","Upstream","Cyanobacteria",30,112198744.266667,117864310.503042,21518980.529103,44011256.846598
"68",2015,"During","Upstream","Diatoms",30,3384149676.80333,4868342423.74424,888833654.381365,1817868936.8659
"69",2015,"During","Upstream","Dinoflagellates",30,148812750.343333,519687491.920942,94881520.7261278,194054498.679705
"70",2015,"During","Upstream","Golden Algae",30,15359994.3533333,29513274.5452757,5388362.07143017,11020437.8310326
"71",2015,"During","Upstream","Green Algae",30,142623218.99,161966310.308372,29570867.2372589,60479214.2172127
"72",2015,"During","Upstream","Other",30,252028085.046667,795212444.763106,145185264.668528,296937206.900955
"73",2015,"During","Downstream","Ciliates",24,426638.7125,2090094.30028594,426638.7125,882569.419512509
"74",2015,"During","Downstream","Cryptophytes",24,34887576.0083333,55868740.2413495,11404158.8469503,23591299.9891714
"75",2015,"During","Downstream","Cyanobacteria",24,182894585.258333,148756345.61618,30364761.8967286,62814295.7862299
"76",2015,"During","Downstream","Diatoms",24,270206428.529167,524526778.678087,107068580.348923,221488233.575563
"77",2015,"During","Downstream","Dinoflagellates",24,0,0,0,0
"78",2015,"During","Downstream","Golden Algae",24,1750523.3,4926869.30249539,1005692.98504132,2080434.44725077
"79",2015,"During","Downstream","Green Algae",24,47153721.9458333,45052753.388154,9196354.77570195,19024109.2948694
"80",2015,"During","Downstream","Other",24,0,0,0,0
"81",2015,"After","Upstream","Ciliates",19,124916260.605263,381612933.067396,87548011.0941541,183931546.086975
"82",2015,"After","Upstream","Cryptophytes",19,22107452.6210526,34896218.7077072,8005741.62413627,16819439.026623
"83",2015,"After","Upstream","Cyanobacteria",19,132866548.963158,373937276.484327,85787094.7062109,180231998.036524
"84",2015,"After","Upstream","Diatoms",19,699501746.210526,1008069294.72825,231266957.04246,485873847.229982
"85",2015,"After","Upstream","Dinoflagellates",19,57197811.2894737,249319479.202526,57197811.2894737,120168142.391603
"86",2015,"After","Upstream","Golden Algae",19,103383344.826316,165673034.983795,38008000.9033707,79851846.8033928
"87",2015,"After","Upstream","Green Algae",19,1165667147.77368,2148161096.379,492821954.397979,1035380505.90938
"88",2015,"After","Upstream","Other",19,262665349.2,755377869.768018,173295568.342411,364080479.006669
"89",2015,"After","Downstream","Ciliates",16,0,0,0,0
"90",2015,"After","Downstream","Cryptophytes",16,67021131.125,64639676.4166498,16159919.1041624,34444052.2308498
"91",2015,"After","Downstream","Cyanobacteria",16,77358909.96375,157442528.434734,39360632.1086835,83895201.4209989
"92",2015,"After","Downstream","Diatoms",16,363064027.45,714976584.059836,178744146.014959,380984128.795054
"93",2015,"After","Downstream","Dinoflagellates",16,0,0,0,0
"94",2015,"After","Downstream","Golden Algae",16,521968.45625,1472382.90572416,368095.726431041,784577.468823937
"95",2015,"After","Downstream","Green Algae",16,27626283.075,24230075.0670361,6057518.76675902,12911295.6226283
"96",2015,"After","Downstream","Other",16,6740233.5,26960934,6740233.5,14366467.6305418
"97",2016,"Before","Upstream","Ciliates",15,0,0,0,0
"98",2016,"Before","Upstream","Cryptophytes",15,1872784969.62,3682301336.95885,950766116.917262,2039190510.88745
"99",2016,"Before","Upstream","Cyanobacteria",15,358359150.013333,226448162.848461,58468664.2327568,125402812.706753
"100",2016,"Before","Upstream","Diatoms",15,4465710409.71333,8344999864.55897,2154669699.96934,4621306889.35408
"101",2016,"Before","Upstream","Dinoflagellates",15,75954151.44,294169163.602436,75954151.44,162905452.900605
"102",2016,"Before","Upstream","Golden Algae",15,78653116.0733333,146182024.033829,37744036.3065274,80952906.6185263
"103",2016,"Before","Upstream","Green Algae",15,868601644.733333,1233659380.51378,318529482.374829,683177793.506881
"104",2016,"Before","Upstream","Other",15,273229932.093333,732868381.440822,189225802.418819,405848982.038448
"105",2016,"Before","Downstream","Ciliates",8,0,0,0,0
"106",2016,"Before","Downstream","Cryptophytes",8,1289229958.225,1987279532.2626,702609416.688057,1661407266.09804
"107",2016,"Before","Downstream","Cyanobacteria",8,146622314.3,164594196.743205,58192836.3305365,137604192.056156
"108",2016,"Before","Downstream","Diatoms",8,4404194307.7375,7611364393.52437,2691023688.37146,6363259875.13381
"109",2016,"Before","Downstream","Dinoflagellates",8,0,0,0,0
"110",2016,"Before","Downstream","Golden Algae",8,0,0,0,0
"111",2016,"Before","Downstream","Green Algae",8,272311830.4875,530342748.16159,187504476.789085,443377633.097686
"112",2016,"Before","Downstream","Other",8,0,0,0,0
"113",2016,"During","Upstream","Ciliates",15,0,0,0,0
"114",2016,"During","Upstream","Cryptophytes",15,781348128.946667,2399848614.75154,619638247.89011,1328991865.39942
"115",2016,"During","Upstream","Cyanobacteria",15,261104158.62,434385989.001604,112157980.081937,240554942.623488
"116",2016,"During","Upstream","Diatoms",15,3066358682.81333,5364416885.36862,1385086483.9431,2970715052.37604
"117",2016,"During","Upstream","Dinoflagellates",15,0,0,0,0
"118",2016,"During","Upstream","Golden Algae",15,7122164.05333333,27584022.7675171,7122164.05333333,15275522.650756
"119",2016,"During","Upstream","Green Algae",15,450610309.486667,1005427740.93467,259600326.430328,556787324.306883
"120",2016,"During","Upstream","Other",15,212697996.386667,380996218.181717,98372800.5323866,210988673.035056
"121",2016,"During","Downstream","Ciliates",12,0,0,0,0
"122",2016,"During","Downstream","Cryptophytes",12,332959545.516667,798579508.396396,230530047.070989,507393212.558474
"123",2016,"During","Downstream","Cyanobacteria",12,175517126.291667,281840687.136039,81360398.2932905,179073029.262678
"124",2016,"During","Downstream","Diatoms",12,3745470874.8,4756372569.2944,1373046491.62414,3022054952.18061
"125",2016,"During","Downstream","Dinoflagellates",12,0,0,0,0
"126",2016,"During","Downstream","Golden Algae",12,0,0,0,0
"127",2016,"During","Downstream","Green Algae",12,278007959.383333,776475218.12809,224149088.102663,493348816.562034
"128",2016,"During","Downstream","Other",12,0,0,0,0
"129",2016,"After","Upstream","Ciliates",27,0,0,0,0
"130",2016,"After","Upstream","Cryptophytes",27,476482163.007407,1075797270.93334,207037281.322276,425571226.654524
"131",2016,"After","Upstream","Cyanobacteria",27,260881880.803704,305122650.780183,58720881.5212636,120702500.630018
"132",2016,"After","Upstream","Diatoms",27,1934492455.50741,1774347381.06809,341473312.698523,701908446.762718
"133",2016,"After","Upstream","Dinoflagellates",27,0,0,0,0
"134",2016,"After","Upstream","Golden Algae",27,8108407.3037037,42132520.2554322,8108407.3037037,16667069.9132698
"135",2016,"After","Upstream","Green Algae",27,701580200.414815,1158521995.87642,222957662.06045,458296037.936245
"136",2016,"After","Upstream","Other",27,452867376.255556,2057041475.62649,395877816.562392,813738506.04966
"137",2016,"After","Downstream","Ciliates",26,0,0,0,0
"138",2016,"After","Downstream","Cryptophytes",26,114655484.265385,320903202.90976,62934295.9081265,129615608.713171
"139",2016,"After","Downstream","Cyanobacteria",26,91497927.2115385,143462044.531598,28135221.712559,57945573.8072769
"140",2016,"After","Downstream","Diatoms",26,3288557295.15769,5228265390.38606,1025347201.83924,2111742092.14564
"141",2016,"After","Downstream","Dinoflagellates",26,0,0,0,0
"142",2016,"After","Downstream","Golden Algae",26,717524.5,3658671.42698091,717524.5,1477769.37029503
"143",2016,"After","Downstream","Green Algae",26,62350827.3192308,121711506.961942,23869590.3472202,49160341.558528
"144",2016,"After","Downstream","Other",26,4073511.68076923,17681556.9613927,3467638.61449399,7141735.41356641
"145",2017,"Before","Upstream","Ciliates",30,0,0,0,0
"146",2017,"Before","Upstream","Cryptophytes",30,747491720.57,1211510756.41277,221190589.982474,452385551.192977
"147",2017,"Before","Upstream","Cyanobacteria",30,458911357.913333,432736227.177552,79006464.3582751,161586362.825645
"148",2017,"Before","Upstream","Diatoms",30,2069541903.06,3509816100.62667,640801817.002683,1310586870.86638
"149",2017,"Before","Upstream","Dinoflagellates",30,713572418.65,2740045373.91217,500261553.293124,1023149757.61445
"150",2017,"Before","Upstream","Golden Algae",30,167959341.266667,535652595.138635,97796336.4478708,200015966.195168
"151",2017,"Before","Upstream","Green Algae",30,1411622707.6,2059065539.05548,375932214.374073,768867708.27044
"152",2017,"Before","Upstream","Other",30,1466292661.33333,5756564521.94298,1051000080.8007,2149536519.13747
"153",2017,"Before","Downstream","Ciliates",24,0,0,0,0
"154",2017,"Before","Downstream","Cryptophytes",24,93162964.85,116050103.981896,23688628.2793813,49003661.1705299
"155",2017,"Before","Downstream","Cyanobacteria",24,50282976.0083333,37610295.8824237,7677169.49891978,15881435.1104174
"156",2017,"Before","Downstream","Diatoms",24,628433631.0875,1587900066.01001,324128743.688021,670511392.38579
"157",2017,"Before","Downstream","Dinoflagellates",24,0,0,0,0
"158",2017,"Before","Downstream","Golden Algae",24,1939045.08333333,5213235.63938149,1064147.26878139,2201356.34617127
"159",2017,"Before","Downstream","Green Algae",24,91755450.2958333,110474406.882394,22550493.8748734,46649250.7729649
"160",2017,"Before","Downstream","Other",24,2119161.2,9710512.17242758,1982149.99696105,4100389.67620556
"161",2017,"During","Upstream","Ciliates",15,0,0,0,0
"162",2017,"During","Upstream","Cryptophytes",15,750797054.8,902863019.229422,233118229.158807,499988874.61078
"163",2017,"During","Upstream","Cyanobacteria",15,396564092.76,292407966.96884,75499412.4245789,161930134.713853
"164",2017,"During","Upstream","Diatoms",15,1274223463.08667,1189676212.25898,307173077.163878,658820726.787833
"165",2017,"During","Upstream","Dinoflagellates",15,0,0,0,0
"166",2017,"During","Upstream","Golden Algae",15,0,0,0,0
"167",2017,"During","Upstream","Green Algae",15,1205276607.64,1680535335.76047,433912357.874227,930649448.891667
"168",2017,"During","Upstream","Other",15,206816023.22,778242637.894125,200941385.058165,430976407.724518
"169",2017,"During","Downstream","Ciliates",13,0,0,0,0
"170",2017,"During","Downstream","Cryptophytes",13,154002771.023077,214774684.846013,59567779.9141476,129787043.111739
"171",2017,"During","Downstream","Cyanobacteria",13,32172463.1153846,9830331.81113735,2726443.4922985,5940410.06038269
"172",2017,"During","Downstream","Diatoms",13,490368109.023077,548291023.215598,152068569.083112,331328949.307421
"173",2017,"During","Downstream","Dinoflagellates",13,0,0,0,0
"174",2017,"During","Downstream","Golden Algae",13,39381613.0076923,134342067.460745,37259785.5908892,81182098.8760794
"175",2017,"During","Downstream","Green Algae",13,138497286.738462,171319414.119732,47515456.3147032,103527285.825968
"176",2017,"During","Downstream","Other",13,348336.4,1255944.75131053,348336.4,758959.817360096
"177",2017,"After","Upstream","Ciliates",8,0,0,0,0
"178",2017,"After","Upstream","Cryptophytes",8,376957541.95,545100732.753335,192722212.27982,455715616.977474
"179",2017,"After","Upstream","Cyanobacteria",8,166568500.5775,153829147.340014,54386816.6141343,128604385.532711
"180",2017,"After","Upstream","Diatoms",8,427610468.325,488789326.457759,172813123.654943,408638103.187981
"181",2017,"After","Upstream","Dinoflagellates",8,0,0,0,0
"182",2017,"After","Upstream","Golden Algae",8,0,0,0,0
"183",2017,"After","Upstream","Green Algae",8,726173347.8125,1270283209.43208,449112935.708416,1061983339.48015
"184",2017,"After","Upstream","Other",8,0,0,0,0
"185",2017,"After","Downstream","Ciliates",9,0,0,0,0
"186",2017,"After","Downstream","Cryptophytes",9,267661755.922222,228480092.541336,76160030.8471119,175625346.070717
"187",2017,"After","Downstream","Cyanobacteria",9,49936047.4877778,22114531.9800603,7371510.66002009,16998734.0647079
"188",2017,"After","Downstream","Diatoms",9,369048806.122222,266414581.7049,88804860.5682999,204784375.696729
"189",2017,"After","Downstream","Dinoflagellates",9,534432621.988889,1063470531.92867,354490177.309555,817455814.765092
"190",2017,"After","Downstream","Golden Algae",9,23994731.2444444,41841041.8047678,13947013.9349226,32161871.8076817
"191",2017,"After","Downstream","Green Algae",9,127074587.966667,75124162.2928684,25041387.4309561,57745542.9670345
"192",2017,"After","Downstream","Other",9,623396.8,1302316.79644911,434105.598816371,1001049.30598583
"193",2018,"Before","Upstream","Ciliates",25,853862095.46,4269310477.3,853862095.46,1762284750.64859
"194",2018,"Before","Upstream","Cryptophytes",25,299540094.58,739752792.214211,147950558.442842,305354944.762245
"195",2018,"Before","Upstream","Cyanobacteria",25,606597931.7248,1308910097.7883,261782019.557659,540291533.625133
"196",2018,"Before","Upstream","Diatoms",25,3239486400.676,13103351389.9174,2620670277.98349,5408797617.23144
"197",2018,"Before","Upstream","Dinoflagellates",25,323524559.24,1617622796.2,323524559.24,667721872.466777
"198",2018,"Before","Upstream","Golden Algae",25,69473128.612,180114297.834358,36022859.5668715,74347528.0457945
"199",2018,"Before","Upstream","Green Algae",25,1106355233.66,1164172254.9777,232834450.99554,480546688.507147
"200",2018,"Before","Upstream","Other",25,5515053.608,20912957.5334716,4182591.50669431,8632444.59454399
"201",2018,"Before","Downstream","Ciliates",20,0,0,0,0
"202",2018,"Before","Downstream","Cryptophytes",20,53986673.25,118112772.995804,26410818.942962,55278479.3442421
"203",2018,"Before","Downstream","Cyanobacteria",20,71551811.18,34339778.0270151,7678607.80006594,16071510.8299053
"204",2018,"Before","Downstream","Diatoms",20,289496045.095,435713519.70463,97428504.8775246,203920204.293696
"205",2018,"Before","Downstream","Dinoflagellates",20,0,0,0,0
"206",2018,"Before","Downstream","Golden Algae",20,0,0,0,0
"207",2018,"Before","Downstream","Green Algae",20,118252154.565,176512181.191371,39469323.6000665,82610243.7061647
"208",2018,"Before","Downstream","Other",20,801683.93,3109774.59876716,695366.73975455,1455419.31294176
"209",2018,"During","Upstream","Ciliates",20,0,0,0,0
"210",2018,"During","Upstream","Cryptophytes",20,150657749.58,421454321.614872,94240051.2541912,197246694.163694
"211",2018,"During","Upstream","Cyanobacteria",20,99278710.765,80774710.4413716,18061774.3409769,37803728.1609594
"212",2018,"During","Upstream","Diatoms",20,673197768.23,1141889635.02754,255334284.672401,534420799.734475
"213",2018,"During","Upstream","Dinoflagellates",20,0,0,0,0
"214",2018,"During","Upstream","Golden Algae",20,25326178.185,113262112.063864,25326178.185,53008300.147436
"215",2018,"During","Upstream","Green Algae",20,94421128.36,140904214.833067,31507140.2682972,65945202.4671627
"216",2018,"During","Upstream","Other",20,325729682.88,1456707426.41826,325729682.88,681760061.50263
"217",2018,"During","Downstream","Ciliates",18,0,0,0,0
"218",2018,"During","Downstream","Cryptophytes",18,32780638.6888889,51724340.3432808,12191543.9363783,25721909.3148101
"219",2018,"During","Downstream","Cyanobacteria",18,31561128.5,18799202.4761933,4431014.51727174,9348623.45414548
"220",2018,"During","Downstream","Diatoms",18,105071780.05,117523464.345637,27700546.1957785,58443043.878345
"221",2018,"During","Downstream","Dinoflagellates",18,0,0,0,0
"222",2018,"During","Downstream","Golden Algae",18,0,0,0,0
"223",2018,"During","Downstream","Green Algae",18,48034900.7722222,58604446.4021336,13813200.4862107,29143305.5655422
"224",2018,"During","Downstream","Other",18,215647.366666667,914914.291890131,215647.366666667,454976.173512066
"225",2018,"After","Upstream","Ciliates",33,0,0,0,0
"226",2018,"After","Upstream","Cryptophytes",33,154122351.9,441485859.72001,76852823.5976454,156544078.925101
"227",2018,"After","Upstream","Cyanobacteria",33,227072311.339394,724665695.003838,126148105.537775,256955282.384217
"228",2018,"After","Upstream","Diatoms",33,385194607.39697,395853251.92648,68909206.197802,140363459.77567
"229",2018,"After","Upstream","Dinoflagellates",33,0,0,0,0
"230",2018,"After","Upstream","Golden Algae",33,102194487.712121,255739693.616552,44518566.3995977,90681352.3023831
"231",2018,"After","Upstream","Green Algae",33,165048778.709091,204416779.404694,35584393.7967822,72483038.2314804
"232",2018,"After","Upstream","Other",33,76779760.6909091,267081734.821251,46492962.3462647,94703065.2393416
"233",2018,"After","Downstream","Ciliates",30,0,0,0,0
"234",2018,"After","Downstream","Cryptophytes",30,63114432.31,85808588.8724849,15666433.2510489,32041453.6715387
"235",2018,"After","Downstream","Cyanobacteria",30,35968375.4266667,31607304.6689862,5770677.9163807,11802361.5297824
"236",2018,"After","Downstream","Diatoms",30,158720570.806667,331182306.663734,60465340.0021069,123665505.693941
"237",2018,"After","Downstream","Dinoflagellates",30,132262161.896667,724429695.752046,132262161.896667,270506494.043617
"238",2018,"After","Downstream","Golden Algae",30,4029979.79,10900048.9377668,1990067.56037503,4070145.16432573
"239",2018,"After","Downstream","Green Algae",30,42213898.5166667,67397591.6806153,12305060.4283318,25166674.3362584
"240",2018,"After","Downstream","Other",30,88082.34,482446.845358396,88082.34,180148.612716411
"241",2019,"Before","Upstream","Ciliates",14,0,0,0,0
"242",2019,"Before","Upstream","Cryptophytes",14,91048447.2785714,232369263.672781,62103297.991463,134166018.443725
"243",2019,"Before","Upstream","Cyanobacteria",14,335207377.985714,560088530.045171,149689956.120777,323385489.390616
"244",2019,"Before","Upstream","Diatoms",14,869404232.221429,1917003655.15367,512340777.627026,1106844957.4132
"245",2019,"Before","Upstream","Dinoflagellates",14,0,0,0,0
"246",2019,"Before","Upstream","Golden Algae",14,18879148,70639303.5701985,18879148,40785919.5999222
"247",2019,"Before","Upstream","Green Algae",14,362167499.614286,497498156.310112,132961975.104582,287246883.517325
"248",2019,"Before","Upstream","Other",14,14963916.4857143,40231207.9170209,10752242.59154,23228807.8814472
"249",2019,"Before","Downstream","Ciliates",8,0,0,0,0
"250",2019,"Before","Downstream","Cryptophytes",8,0,0,0,0
"251",2019,"Before","Downstream","Cyanobacteria",8,61069670.15,23129055.1764796,8177355.87886327,19336374.0250649
"252",2019,"Before","Downstream","Diatoms",8,242670595.5125,278826306.620408,98579986.0922451,233104625.835402
"253",2019,"Before","Downstream","Dinoflagellates",8,0,0,0,0
"254",2019,"Before","Downstream","Golden Algae",8,0,0,0,0
"255",2019,"Before","Downstream","Green Algae",8,18148168.15,15937633.9645585,5634804.52620417,13324195.4356472
"256",2019,"Before","Downstream","Other",8,11443141.6,25756907.1397612,9106441.85045866,21533313.245314
"257",2019,"During","Upstream","Ciliates",12,0,0,0,0
"258",2019,"During","Upstream","Cryptophytes",12,24387712.5,84481514.2607652,24387712.5,53676993.3010814
"259",2019,"During","Upstream","Cyanobacteria",12,145492360.883333,62440621.8187462,18025054.9077104,39672878.3617075
"260",2019,"During","Upstream","Diatoms",12,1310578730.20833,3107374871.5766,897021859.288915,1974331800.57271
"261",2019,"During","Upstream","Dinoflagellates",12,0,0,0,0
"262",2019,"During","Upstream","Golden Algae",12,0,0,0,0
"263",2019,"During","Upstream","Green Algae",12,53002668,41019086.6762963,11841190.3672361,26062284.2761068
"264",2019,"During","Upstream","Other",12,529308.208333333,1833577.41939317,529308.208333333,1164999.51165636
"265",2019,"During","Downstream","Ciliates",8,0,0,0,0
"266",2019,"During","Downstream","Cryptophytes",8,9849015,27857221.1780321,9849015,23289219.7233011
"267",2019,"During","Downstream","Cyanobacteria",8,36976284.9,13905595.3242546,4916370.37510819,11625368.6187931
"268",2019,"During","Downstream","Diatoms",8,211154836.325,137496239.417889,48612261.6400192,114949732.798763
"269",2019,"During","Downstream","Dinoflagellates",8,0,0,0,0
"270",2019,"During","Downstream","Golden Algae",8,0,0,0,0
"271",2019,"During","Downstream","Green Algae",8,10486907.3875,6939839.57297801,2453603.81119975,5801851.07576342
"272",2019,"During","Downstream","Other",8,0,0,0,0
"273",2019,"After","Upstream","Ciliates",14,0,0,0,0
"274",2019,"After","Upstream","Cryptophytes",14,279513481.871429,472391995.143699,126252071.291593,272751017.631863
"275",2019,"After","Upstream","Cyanobacteria",14,162077785.228571,170794436.741708,45646733.2753218,98613771.8379223
"276",2019,"After","Upstream","Diatoms",14,3936861446.39286,6833517157.4193,1826334282.12174,3945555339.31928
"277",2019,"After","Upstream","Dinoflagellates",14,0,0,0,0
"278",2019,"After","Upstream","Golden Algae",14,211248682.735714,259997947.730041,69487374.4050123,150118345.684483
"279",2019,"After","Upstream","Green Algae",14,1608047032.11429,3642639581.11462,973536378.288046,2103197477.5798
"280",2019,"After","Upstream","Other",14,0,0,0,0
"281",2019,"After","Downstream","Ciliates",7,0,0,0,0
"282",2019,"After","Downstream","Cryptophytes",7,98698011.2714286,98279236.0492488,37146059.6611037,90893133.6080928
"283",2019,"After","Downstream","Cyanobacteria",7,31189573.6571429,17700379.2377472,6690114.51065857,16370120.4816474
"284",2019,"After","Downstream","Diatoms",7,168251495.185714,131006865.341492,49515940.8193877,121161142.411553
"285",2019,"After","Downstream","Dinoflagellates",7,0,0,0,0
"286",2019,"After","Downstream","Golden Algae",7,4493368.77142857,11888336.3181038,4493368.77142857,10994877.2983733
"287",2019,"After","Downstream","Green Algae",7,9531069.62857143,16336674.7902737,6174682.67782894,15108904.2214392
"288",2019,"After","Downstream","Other",7,0,0,0,0
